additional_cards_rules_key;Extra Kártyák
b_nr100_2_puzzle_battle_desc;A legenda úgy tartja, egykor egy Fehér Cornelius nevezetû varázsló élt Derûsgátban. Miután összetûzésbe került a város elöljáróival, kénytelen volt sietve elhagyni az otthonát. Ám még mielôtt menekülôre fogta volna, minden vagyonát egy szakadék mélyén rejtette el. És mert biztos volt abban, hogy a városlakók kutatni fognak a kincsei után, nem hagyta azt ôrizetlenül...
b_nr100_2_puzzle_battle_name;Kemény, mint a kô
b_nr100_2_regular_battle_desc;Reynard egy szempillantás alatt Meve-hez szökkent, kiütve ôt a nyeregbôl. Ha csak egy kicsit is hezitál, Meve a szikla alatt lelte volna halálát. Ám még mindig nem voltak biztonságban – az egész sziklafal leomlott az út irányába a templomkert falával együtt, ami a tetején állt. A halálra zúzott és haldokló katonák sikolyai keserûséggel töltötték el a királynôt. Mégis gyorsan össze kellett szednie magát, és vissza kellett szereznie az irányítást a serege fölött...
b_nr100_2_regular_battle_name;Kôomlás
b_nr100_3_regular_battle_desc;Oxenfurt tudósai azt állítják, egy falkányi nekker képes egyetlen perc alatt csontig lezabálni a húst egy emberi testrôl. Talán két percbe is beletelik, ha páncélt is visel az áldozat. Vajon miképp jutottak a tudósok erre a következtetésre? Nos, az Oxenfurtot körülölelô vidéket számos csata öntözte vérrel, így alanyokat a tanulmányhoz – feltehetôleg – nem volt nehéz találni...
b_nr100_3_regular_battle_name;Tápláléklánc
b_nr100_4_regular_battle_desc;Spalla Bitangjai sosem temették el az áldozataikat. A ruháiktól megfosztott testektôl egyszerûen megszabadultak a tábor közelében. A rothadó hús átható szaga gyakran vonzott ghúlokat a környékre. És mégis, a szörnyek egyszer sem támadtak a haramiák táborára. Vajon miért? Lehet, hogy olyan mohón táplálkoztak, a hasuk eltelt a döghússal. Vagy talán voltak annyira eszesek, hogy az élelemforrásukat életben hagyják...
b_nr100_4_regular_battle_name;Együttélés
b_nr100_5_regular_battle_desc;A lyriaiak fülét rekedt hangú kiáltozás és danászás ütötte meg. Mint hamarosan a felderítôk rájöttek, a lárma forrása egy közeli erdô volt, ahol skelligei kalózok vertek tábort. Meve összevonta a szemöldökét. "Senki sem fosztogathat a földjeimen büntetlenül" – gondolta magában, és közben jelzett a katonáknak, hogy vonják ki kardjukat. – "Senki".
b_nr100_5_regular_battle_name;Úton
b_nr100_6_regular_battle_desc;Fosztogató egységek követték a Nilfgaardi Hadsereg fô haderejét, kiürítve a magtárakat, lovakat és egyéb javakat orozva el. Bár ezen egységek megtörése és szétzilálása nem volt létfontosságú Meve-nek a megszállók visszaverésével kapcsolatosan alkotott terveiben, mégsem szándékozott hagyni, hogy királyságait szétrabolják.
b_nr100_6_regular_battle_name;Fosztogatók
b_nr100_7_regular_battle_desc;Azt állították lyriai halászok, hogy hitvány szörnyek bukkantak fel a Javina partmenti, sekély vizein ringatózó vízililiomok közül. A borzalmakat úgy festették le, mint hatalmas halszemû és zöld sörtékkel borított, pikkelyes irhájú rémségeket...
b_nr100_7_regular_battle_name;Liliomok között
b_nr100_8_regular_battle_desc;A hadoszlopot ellátmánnyal megrakodott szekerek és hátvédek követték. Utánuk viszont civilek – kereskedôk, sebész borbélyok és vándor mesteremberek – masíroztak. Legvégül pedig, tôlük nem messze lemaradva, a fák és a bozótosok között ólálkodó különféle szörnyek és bestiák zárták a sort. Mert azok is megtanulták már: amerre hadsereg vonul, ott friss húsnak sosem lesznek híján...
b_nr100_8_regular_battle_name;A hadsereg nyomában
b_nr100_9_regular_battle_desc;A Feketék annyira meg voltak gyôzôdve a felsôbbrendûségükrôl, oly biztosak voltak a saját gyôzelmükben, hogy sosem számoltak a lyriaiakkal, mint komoly fenyegetéssel. Ahelyett, hogy szemmel tartották volna az ellent, a nilfgaardi ôrök inkább kártyáztak, a császárukat dicsôítô dalokat énekeltek, vagy csak a földbe szúrt lándzsáiknak támaszkodva szunyókáltak. Meve-et bosszantotta eme nemtörôdömség, ezért eltökélte, segít a megszállóknak ráébredni saját önhittségükre...
b_nr100_9_regular_battle_name;Szép álmokat!
b_nr101_3_meet_gascon_desc;Meve katonái tapasztalt harcosok voltak. Több hadjárat során is szolgáltak, számos csatában bizonyítottak már. Mégis, Spalla Bitangjai rendkívül nyugtalanították ôket. A vad kutyák módjára vonító útonállók nem hétköznapi kardokkal vagy lándzsákkal harcoltak, hanem hóhérpallossal, rozsdás szögekkel kivert husángokkal és kínzóeszközökkel, miközben arcukat rettentô maszkokkal takarták...
b_nr101_3_meet_gascon_name;Egy eb megzabolázása
b_nr101_4_dravograd_2_desc;A nilfgaardi katonák jól felszereltek voltak. Mindegyikük feketére színezett nehézvértet, szárnyakkal ékesített sisakot viselt, és arany napkoronggal díszített, magas, egész testet takaró pajzsot hordozott. Velük összehasonlítva a lyriaiak a steppelt zubbonyaikban és könnyû páncéljaikban jóval kisebbeknek és gyengébbeknek is tûntek... És mégis azon voltak, hogy bizonyítsák, az impozáns nilfgaardi vértezet csupán csak az erô látszatának keltése végett volt.
b_nr101_4_dravograd_2_name;A dravográdi csata
b_nr101_4_dravograd_desc;A nilfgaardi katonák jól felszereltek voltak. Mindegyikük feketére színezett nehézvértet, szárnyakkal ékesített sisakot viselt, és arany napkoronggal díszített, magas, egész testet takaró pajzsot hordozott. Velük összehasonlítva a lyriaiak a steppelt zubbonyaikban és könnyû páncéljaikban jóval kisebbeknek és gyengébbeknek is tûntek... És mégis azon voltak, hogy bizonyítsák, az impozáns nilfgaardi vértezet csupán csak az erô látszatának keltése végett volt.
b_nr101_4_dravograd_name;A dravográdi csata
b_nr101_5_lyria_desc;Így hát lyriai állt szemben lyriaival. Az elején még Meve úgy hadakozott, hogy csak megsebezze vagy elkábítsa, de meg ne ölje az ellenfeleit. Ám hamar rá kellett ébrednie, hogy a vele szemben állóknak nem voltak ilyesféle fenntartásaik. Ezek a férfiak, akik néhány nappal korábban még tisztelegtek neki, és akiknek arcát oly jól ismerte, bizony nem ütnének mellé, nem fognák vissza a csapásaikat. Meve-nek nem volt más választása, mint hogy kardjával megfelelô mértékû választ adjon...
b_nr101_5_lyria_name;Ûzött királynô
b_nr102_1_bandit_attack_desc;Meve meg volt arról gyôzôdve, hogy miután a haramiák rádöbbennek borzalmas tévedésükre, visszamenekülnek a biztonságot adó erdôbe. Mert hát egyetlen közönséges haramiának se volna mersze rátámadni a királynôre és kíséretére. De Spalla Bitangjai egészen másfajta haramiák voltak. Számukra semmi nem volt szent...
b_nr102_1_bandit_attack_name;Az út szélén
b_nr103_2_temple_robbers_desc;Ha a haramiák úgy döntenek, hogy visszahúzódnak az erdô sûrûjébe, vagy csak ôrt állítanak, akkor erre az összetûzésre sor sem került volna, és egyszerûen meglóghattak volna a zsákmányukkal. Ám megrészegültek a gyôzelemtôl és túlzott magabiztosságuk tudatától. Vagy talán... talán csak az istenek altatták el éberségüket az istenkáromlás miatt érzett bosszúszomjuk okán?
b_nr103_2_temple_robbers_name;Meliteléért
b_nr104_1_pogrom_desc;Sajnálatos módon nem ez volt az elsô pogrom Lyria történetében,... sem pedig az utolsó. Habár a háborúknak az emberek és az ôsi fajok között évtizedekkel korábban végük szakadt, a tündék és a törpök még mindig tökéletesen tudatában voltak annak, hogy egy rosszindulatú pletyka milyen rendkívül gyorsan csaphat át gyûlölködésbe. Aztán már nem kell hozzá sok idô, hogy vasvillák és cséphadarók jelenjenek meg a kezekben – az utcák macskaköveit pedig karmazsinvörös vér szennyezze...
b_nr104_1_pogrom_name;Jó szomszédok
b_nr105_1_wedding_village_desc;A harc egy sûrû, sötét erdôben dúlt – oly sûrûben, hogy a holdfény alig-alig hatolt át a fák lombkoronái között. Ha nem lett volna a menyasszony ragyogóan fehér ruhája, a lyriaiak – lehet – meg sem tudták volna határozni az ellenség helyzetét. És így, mindenbôl és mindenkibôl kettôt látva tántorogtak hát harcba, szájukon még a hideg pálinka ízével...
b_nr105_1_wedding_village_name;Elrabolva
b_nr106_1_meet_shop_desc;Az emberek, látva esetlen mozdulataikat, és hallva ügyetlenül megfogalmazott, nyakatekert mondataikat gyakran semmibe veszik a trollokat. Általában arra a következtetésre jutnak, hogy a trollok nem jelentenek valós veszélyt – bestiák, amik könnyen kijátszhatók, vagy ha úgy hozná a szükség, futva könnyen lehagyhatók. De a nilfgaardiak hamar rádöbbentek ezen feltételezéseik hamisságára... És nagy árat fizettek ezért a hibájukért.
b_nr106_1_meet_shop_name;Egyes trollok mázlisták...
b_nr107_1_nilfgaardian_captives_desc;A lyriaiak szoros körbe zártak össze a királynôjük körül, akadályt képezvén közte és ellenségeik között. Meve biztonságban volt... És mégis, nem bírt tétlenül ülni. Megsarkantyúzta paripáját, és egyenesen a csata sûrûjébe vágtatott, hogy fellelje a nilfgaardi parancsnokot. Remélte, hogy feltehet a Feketének néhány kérdést – ha kell, akkor pengét is a torkának szorítva...
b_nr107_1_nilfgaardian_captives_name;Csapdában
b_nr107_2_siege_machine_camp_desc;A visszacsapódó íjhúrok pengése, aztán, egy pillanattal késôbb, a nilfgaardiak földre zuhanó testei, a torkukból felszûkölô jajgatás. A lyriaiak üdvrivalgásban törtek ki, habár az ünneplés még korainak bizonyult... A második sorozat hatástalanul pergett le az aranyló napkorongokkal díszített pavézi pajzsokról. Meve elengedett egy káromkodást. Hiába volt a meglepetés ereje, úgy tûnt, a gyôzelem nem adja magát könnyen...
b_nr107_2_siege_machine_camp_name;A turnifeni csata
b_nr109_1_fake_lyrians_desc;Restvár erôdje rendkívüli taktikai jelentôséggel bírt. Akinek az uralma alá tartozott, az tartotta ellenôrzése alatt a Lyria és Rívia közötti útvonalat, valamint a Javinán folyó kereskedelmet. Az a tény, hogy Nilfgaard már a háború elsô napjaiban el akarta foglalni, azt bizonyítja, hogy statégáik jóval korábban kiismerték az ellenséges területek sajátosságait... És régóta készültek a megszállásukra.
b_nr109_1_fake_lyrians_name;Birodalmi fortély
b_nr110_1_nilfgaardian_emissary_desc;A nilfgaardi nehézgyalogságnak és –lovasságnak meglehetôsen sötét a hírneve Északon. Már csak a fekete páncélzatuk látványa és a sisakjukat ékesítô szárnyak vágta közben keltett hangja rettenetet csempész a szívekbe. A fekete selymekbe és díszes rojtokba burkolózó birodalmi követek, bár kevéssé tûnnek fenyegetônek, ugyanannyira veszedelmesek. Állandóan figyelô tekintetük és mérgezô szavaik számos birodalom vesztét okozták...
b_nr110_1_nilfgaardian_emissary_name;Hatálytalanított mentesség
b_nr112_2_manticore_desc;A mantikórok valóban iszonytató teremtmények. Egy oxenfurti professzor még ama véleményének is hangot adott, miszerint pusztán ezen vérszomjas bestiák létezésének a ténye ellentmond annak a széles körben elterjedt meggyôzôdésnek, miszerint az istenek jóindulatúak és könyörületesek. Értekezésének publikálása heves, túlfûtött reakcióktól sem mentes teológiai vitához vezetett – a helyzet iróniája, hogy a kedélyeket csak a boszorkányvadászok megjelenése, és a tudós nyilvános megégetése tudta lehûteni.
b_nr112_2_manticore_name;A bestia odújában
b_nr113_1_skellige_pirates_desc;A skelligeiek Észak minden más népétôl eltérô módon harcolnak. Dallal az ajkukon szállnak szembe karddal és fejszével. Széles vigyorral az arcukon fogadják a nyilak záporát, és rázzák le magukról a sebesüléseket. Nem kis teljesítmény csatában felülkerekedni a Szigetlakókon... De, persze, lehetséges – ahogy azt Meve bizonyítani is szándékozott.
b_nr113_1_skellige_pirates_name;Lippy Gudmund
b_nr115_2_cemetery_desc;Mi is volt az a szörny egyáltalán, amivel Meve a temetôben szembekerült? Ájerfalva lakói csak "gyászolónak" hívták. Úgy hitték, hogy egy tünde asszony volt, akit ôrületbe kergetett a legyilkolt gyermekeinek az elvesztése. Aki aztán idôrôl-idôre visszatért virágokat elhelyezve, gyertyákat gyújtva a sírjuknál. És embervérbôl áldozati ajándékot hagyva.
b_nr115_2_cemetery_name;Ájerfalva gyászolója
b_nr200_1_puzzle_battle_desc;Aedirn lakói rendkívüli jómódban éltek, amely tehetôsség az otthonaikban is megmutatkozott: kerámiacserepekkel kirakott kályhák, padlózat kemény tölgybôl, egzotikus zerrikániai faliszônyegek díszítették azokat... És most mindez az enyészeté – na, meg a szörnyeké.
b_nr200_1_puzzle_battle_name;A törmelékek között
b_nr200_1_regular_battle_desc;Egy szerény kis falucska volt a Vándorok Bükkfájától északra. Ahogy Meve serege közeledett, már távolról is jól kivehetô volt, hogy a háború tombolása nem kímélte ezt a falut sem. Házai kiégve és összedôlve pangtak, a levegôt pedig füsttôl terhes, avas szag ülte meg. De mi lett vajon a lakókkal? Mindannyian a település fô terén, testeik a földön halomba hányva, feneketlen bendôjû hullazabálók és dögevôk által megcsonkítva. És a szörnyek még mindig nem hagyták oda vértôl iszamós zsákmányukat.
b_nr200_1_regular_battle_name;Egy árva lélek sem
b_nr200_10_regular_battle_desc;Látva, hogy katonái megrettentek a sokkalta erôsebb védelemmel bíró nilfgaardiaktól, saját maga rohamozta meg az ellenséges arcvonalat. Vágta közben rákészült egy erôteljes csapásra, és minden erejét beleadva lesújtott ellenfelére... Hogy aztán kardja bármiféle kár okozása nélkül pattanjon le az ellenség pajzsáról. "Hosszú harcnak nézünk elébe" – gondolta a királynô, elzsibbadó karját szorítva. – "Hosszúnak és fáradságosnak."
b_nr200_10_regular_battle_name;Nehézgyalogság
b_nr200_11_regular_battle_desc;Minél közelebb értek Aldersberghez a lyriaiak, annál valószínûbbnek tûnt számukra Aedirn kapitulációja. Mindenfelé fekete páncélos emberek rajzottak terményeket elorozva, gyümölcsöskerteket és tanyákat fosztogatva büntetlenül. Milyen segítséget ajánlhat úgy Demavend király Meve-nek, hogy még a saját alattvalóit sem tudja megvédelmezni?
b_nr200_11_regular_battle_name;A fekete áradat
b_nr200_2_puzzle_battle_desc;Bár az emberiség megtanulta használni és megzabolázni a tüzet, mégis megmaradt benne egy mélyen gyökerezô, ösztönös félelem tôle. És helyesen teszi, hogy féli, mert amikor ez az elemi erô elszabadul, akkor annak következményei rendszerint végzetesek. És ilyenkor nem holmi mezei futótüzekre gondolunk – hanem annál sokkal de sokkal rosszabbakra...
b_nr200_2_puzzle_battle_name;Tûzben született
b_nr200_2_regular_battle_desc;Egész Aedirn lángolt: városok, falvak, erdôk váltak a lángok martalékává. Mikor végül a tüzek kihúnytak, a királyságra fullasztó, fekete füstfelhô telepedett, amely még a napfényt is kioltotta. Oly sötét felleg, hogy azok a bestiák, amelyek csak éjszaka merészkedtek elô portyázni, most már nappal is vadásztak.
b_nr200_2_regular_battle_name;Sötétségben
b_nr200_3_puzzle_battle_desc;Annak érdekében, hogy elkerüljék a nilfgaardi ôrjáratokat, Meve letért a fôútról. Ám ez a kerülô más egyéb veszélyeket rejtett... A lyriaiak eltévedtek, mialatt keresztülhaladtak a ködülte erdôn. Miközben egy sûrûn benôtt csapát követtek, egy romos házikóba botlottak. Az építmény elhagyatottnak tûnt – de a látszat gyakran lehet csalóka...
b_nr200_3_puzzle_battle_name;A ködben
b_nr200_3_regular_battle_desc;A közhiedelemmel ellentétben a nekkerek meglehetôsen intelligens teremtmények. Legalábbis intelligensek annyira, hogy felismerjék egy elhagyatott nilfgaardi tábor stratégiai jelentôségét. Ezek a bestiák kiváló, palánk által jól védett helyet találtak egy új fészekhez. Csakhogy elfelejtették becsukni maguk után a kaput.
b_nr200_3_regular_battle_name;Új gyökerek
b_nr200_4_puzzle_battle_desc;Melitele keresztutak mentén álló kegyhelyei az úton lévôk védelmezéséül szolgáltak a gonosszal szemben. Mégis, amikor Meve megállt imára az egyiknél, embereire nyilak zápora zúdult egy váratlan rajtaütés közben.
b_nr200_4_puzzle_battle_name;Félbeszakadt fohász
b_nr200_4_regular_battle_desc;Van valami költôi a tünde romokban: égbe törô, borostyánnal befutott karcsú oszlopok, törött szobrok alabástromból és márványból, ôsi törmelékeken keresztülcsordogáló vízfolyások csobogása... És persze a nyílvesszôktôl átlyuggatott testû áldozatai a Scoia'tael csapdáknak.
b_nr200_4_regular_battle_name;Palotaromok
b_nr200_5_puzzle_battle_desc;Utazásaim során számos trollal összefutottam már. Egyesek barátságosak voltak és segítôkészek. Mások, mint például az, amelyikkel Meve a háború tépázta Aedirnben találkozott, egészen másként tekintettek az emberekre. Mint, mondjuk, leves hozzávalóként.
b_nr200_5_puzzle_battle_name;A trollasszony dühe
b_nr200_5_regular_battle_desc;A szélhordta sátrak arra engedtek következtetni, hogy nem is oly rég mások is jártak a Mállóerdôben. De miért hagyták el a táborukat? Vajon mi lett velük? Még mielôtt a lyriai felderítôknek érkezése lett volna a nyomok értelmezésére, elernyedô íjhúrok pengése és nyílvesszôk süvítése vette ôket körül...
b_nr200_5_regular_battle_name;Elhagyatott tábor
b_nr200_6_puzzle_battle_desc;A nilfgaardi katonai fölény olyan óriási volt, hogy még egy birodalmi felderítôosztag is komoly fenyegetést jelentett Meve szerény létszámú hadseregére. Ahelyett, hogy visszavonultak és erôsítésre vártak volna, a nilfgaardiak a támadás mellett döntöttek...
b_nr200_6_puzzle_battle_name;Tûzpróba
b_nr200_6_regular_battle_desc;A Mállóerdôn áthaladtában Meve mindvégig úgy érezte, mintha figyelô tekintetek kísérnék. Volt, hogy a királynô mintha egy villanó szempárt pillantott volna meg a bozót levelei között, vagy mintha baljóslatú suttogást vélt volna kihallani az egymásnak ütôdô faágak kopogásából és zizegésébôl. Ezek a képzelgések, persze, legtöbbször a kimerültség és a félelem számlájára voltak írhatók... De nem ezúttal!
b_nr200_6_regular_battle_name;Körülvéve
b_nr200_7_puzzle_battle_desc;A rothadó, temetetlen testek amellett, hogy a dögevô bestiáknak valóságos terülj-terülj-asztalka, egyben a különféle ragályoknak is melegágya. Jóllehet, a förtelmes hullazabálóktól még megmenekedhet az ember. De miféle védelme lehet egy láthatatlan ellenséggel szemben? Amikor a puszta lég vagy a víz is lassú és fájdalmas halállal sújthat?
b_nr200_7_puzzle_battle_name;Dögvész
b_nr200_7_regular_battle_desc;Tünde harcosok rontottak elô az erdôbôl – ajkukon fenyegetô kiáltás, arcukon rettentô harci festés, szemükben izzó gyûlölet. Meve a serege élén állt, a vad ellenállók egyikével váltott pengét. Ott álltak, egymással szemtôl szemben, kardjaikkal egymáséit keresztezve, a mozdulatba dermedve, ziháló lélegzetük nagy erôfeszítésrôl árulkodott. Vajon ki diadalmaskodik? És vajon kinek az élete lángja húny ki az ôsöreg fák árnyékában?
b_nr200_7_regular_battle_name;Holtpont
b_nr200_8_puzzle_battle_desc;A tündék gyakorta hangoztatják, hogy a d'hoine-ok szánalmas imitátorok, hogy csak más fajok utánzására képesek. Van benne egy szemernyi igazság. És ugyanennyire volna igazságtalan elvitatni tôlük újító természetüket. Hiszen képesek mindent – de tényleg mindent – fegyverré alakítani.
b_nr200_8_puzzle_battle_name;Megrontott fegyverek
b_nr200_8_regular_battle_desc;Meve egysége a Mállóerdô kellôs közepén állt meg. Mindenütt az Aen Seidhe korábbi pompájának megkopott bizonyítékai voltak láthatók: túlburjánzott ligetek, mohaborította szentélyek, elomló épületek. A romok elhagyatottnak és sivárnak tûntek... Mégis, a királynô tudta, hogy a látszat csalóka lehet. Számára nem volt kétséges, hogy valahol az omladékok között a tündék újabb rajtaütésen fondorkodtak.
b_nr200_8_regular_battle_name;A romok között
b_nr200_9_regular_battle_desc;Hogy felkészítse magát a nilfgaardiakkal való következô összecsapásra, Meve felidézte magában mindazon leckéket, amiket még kislányként a Kontinens geográfiájáról megtanult. "Kisasszonykám, a Nilfgaardi Császárság területe oly hatalmas, hogy Lyria Királysága nem hogy egyszer, sem pedig kétszer, hanem harmincszor is beleférne" – magyarázta neki oktatója. "Harmincszor... " – sóhajtott a királynô. – "Hogyan is remélhetem, hogy ezt a gigászt visszaverhetem? Lehetséges ez egyáltalán?"
b_nr200_9_regular_battle_name;Birodalmi felderítés
b_nr201_1_starting_scene_desc;Ez volt Meve elsô összecsapása a Scoia'taellel, a harcosokkal, akik a másfajúak ügyéért adták vérüket. A közös nyelven az elnevezést hagyományosan "Mókusok"-ra fordítják a sapkáikra és sisakjaikra tûzött, vöröses színû mókusfarkak miatt. Ez a díszítés az ellenállók végjegyévé vált – akár csak a rideg, számító kegyetlenség, amellyel az emberi foglyaikkal szemben viseltetnek...
b_nr201_1_starting_scene_name;Egy megelôzött kivégzés
b_nr201_2_rosberg_desc;Rosbergnél világossá vált Meve számára, hogy Nilfgaard nem csak azért kezdte ezt a háborút, hogy számára kedvezôbb határvonalakat fektethessen le, sem pedig azért, hogy a Kontinens politikai és katonai erôegyensúlyán számára kedvezôen változtasson, hanem hogy az egész Északot porig égesse, majd új, Nilfgaard-uralta világot építsen a romokon. Így a lyriaiak nem csupán a becsületükért vagy a zsákmányért harcoltak, hanem a puszta túlélésükért...
b_nr201_2_rosberg_name;A rosbergi csata
b_nr201_3_eldain_confrontation_desc;Eldain nem viselt sem páncélt, sem pajzsot. Egy táncos kecsességével siklott a csatatéren, úgy, mintha csak a föld fölött lépdelne, elegáns könnyedséggel védve ki minden feléje irányzott támadást. Saját csapásai oly simán szelték keresztül a levegôt, hogy Meve számára úgy tûnt, mintha kardjával minduntalan elvétette volna célját... De csak egészen addig, amíg a földre nem kezdtek zuhanni a lyriaiak, hiába próbálva az artériáikból elôtörô vérszökôkutak permetének gátat szabni. Sebeik aprók voltak, alig nagyobbak, mint a tüskeszúrások... De megsemmisítôen halálosak.
b_nr201_3_eldain_confrontation_name;Csata Caedv Gaenvidnél
b_nr201_4_vengerberg_desc;A bábaasszonyok azt javasolják, a nôt a szülés fájdalmai közepette nyugalom és biztonság vegye körül. Demaretta nem engedhetett meg magának efféle luxust. Ahogy az összehúzódások között kinyitotta szemeit, a nilfgaardi hadigépek által kilôtt lángoló dárdák füstcsíkjait látta keresztülszelni az égboltot, és életüket vesztett katonák testét a mélybe zuhanni az erôdfalról. "Gyerünk" – suttogta épp születendô fiának. – "Gyerünk, angyalkám...!".
b_nr201_4_vengerberg_intro_desc;Az ostromló erôk kezdetben figyelmen kívül hagyták a lyriaiakat. Végtére is, a nilfgaardiak jobban felszereltek, képzettebbek is voltak, és ami a legfontosabb, jelentôs számbeli fölénnyel bírtak. Ám a fölényük hamarosan olvadni kezdett. Ugyanis Feketék hullottak szép számmal Meve gyalogságának csapásai nyomán. A nilfgaardi parancsnok, miközben hitetlenkedve szemlélte az eseményeket, megfújatta a kürtöket, és erôsítést kért...
b_nr201_4_vengerberg_intro_name;Aldersberg falai alatt
b_nr201_4_vengerberg_name;Az Óváros védelme
b_nr203_1_traitor_town_desc;A királynô tartott attól, hogy emberei nem viszik majd vásárra a bôrüket egy aedirni város miatt. Mert hát miért is tenné valaki kockára a saját életét a szomszédja otthonáért, amikor még a magáét is vissza kellett szereznie? Ennek ellenére Meve gyalogsága ádázul harcolt, soha nem tört meg. Nilfgaard támadásának pillanatától a lyriaiak, temeriaiak és kaedweniek közti csip-csup különbségek többé már nem számítottak. Mindannyiak Észak népei voltak – és kötelességük volt válaszolni egymás hívására.
b_nr203_1_traitor_town_name;A gatbergi csata
b_nr204_1_evil_tree_desc;A lyriaiak valóságos pokolban küzdöttek: fojtogató vörös és fekete füstben fuldokolva, tüzektôl ölelve, és a lángoló, olvadó húsú férfiak rettenetes sikolyai által körülvéve. A rajtukütô, elcikázó tündék szellemeknek tûntek az arcukat borító koromfekete festés és a szemükben égô, az emberiség iránt érzett heves gyûlölet miatt.
b_nr204_1_evil_tree_name;Eldain rajtaütése
b_nr205_2_sadistic_general_encounter_desc;Meve arra számított, Vrygheff tábornok ábrázata tükrözni fogja majd gonoszságát. Egy sebhelyektôl elcsúfított arcot képzelt el, megsárgult fogakat, és egy üres szemgödröt takaró baljósló szemkendôt hozzá. Helyette egy elôkelô, a negyvenes éveiben járó úriembert látott gondosan nyírt szakállal. Aki meglehetôsen... hétköznapinak tûnt.
b_nr205_2_sadistic_general_encounter_name;Bûn és bûnhôdés
b_nr206_2_getting_food_desc;Meve azon tûnôdött, vajon bármelyik nilfgaardi érzett-e bûntudatot, amiért egy védtelen paraszttól konfiskálta el az élelmet, lassú és fájdalmas éhhalálra ítélve ôt. Voltak-e ettôl álmatlan, rémálmokkal átszôtt éjszakáik? Fordultak-e el, amikor önnön tükörképüket megpillantották valamely fényes felületen tükrözôdni? Voltak efelôl kétségei.
b_nr206_2_getting_food_name;A magtárért vívott ütközet
b_nr207_1_aedirnian_traitor_desc;Nem Falbeson volt az egyetlen áruló Északon. Sok tehetôs paktált le a Birodalommal még nagyobb gazdagság és majdani kiváltságok ígéretével áltatva magát. Meg, persze, néha kényszer hatására. És voltak az ingadozók, akik nem tudták, merre húzzanak – hogy királyaik, kaedweni Henselt vagy temeriai Foltest egyezséget kötöttek-e a megszállókkal. Emiatt pedig úgy tûnt, minél tovább húzódik el a háború, Nilfgaardnak annál kisebb ellenállással kell számolnia.
b_nr207_1_aedirnian_traitor_name;Aedirn árulói
