menu.nr401_3_after_attack.123;És mi van azzal a borzalmas sebével?
say.nr401_3_after_attack.71;Meve... Nem kedvelem a fickót, mindig is civódtunk, és eztán is fogunk. De még én is beláttam, hogy azok a Villemnek küldött levelek soha nem rossz szándékkal íródtak.
say.nr401_3_after_attack.73;Ám legyen... Visszafogadom.
say.nr401_3_after_attack.75;Ezer köszönet, Felség! Esküszöm a––
say.nr401_3_after_attack.77;Szükségtelen. Csak tegye a dolgát.
say.nr401_3_after_attack.80;Maguk pedig tartoznak nekem egy magyarázattal. Úgy emlékszem, számûztem mindkettôjüket, parancsba adtam, hogy távozzanak, és tûnjenek a szemem elôl.
say.nr401_3_after_attack.82;Bocsásson meg nekünk, Felség. Ennek a parancsnak nem engedelmeskedhettünk.
say.nr401_3_after_attack.84;Túlságosan is közel merészkedtél a Nagy Napkoronghoz, Meve. Kemény harc vár rád – olyan, amit egyedül nem vívhatsz meg.
say.nr401_3_after_attack.86;De biztosan elveszítek, ameddig árulók vesznek körül. Miképp lehetnék bizonyos abban, hogy nem szônek újabb cselt?
say.nr401_3_after_attack.88;Felség, Gascon és én hibáztunk. Szégyenletesen nagyot! De... készek vagyunk vezekelni miatta, ha ez a kívánsága.
say.nr401_3_after_attack.9;Ezzel egyáltalán nem értek egyet. Hosszú beszélgetésnek nézünk elébe.
say.nr401_3_after_attack.90;Hogyan? Négykézlábra ereszkednek, és könyörögni fognak?
say.nr401_3_after_attack.92;Nem, Meve. Az életünkkel, a vérünkkel.
say.nr401_3_after_attack.94;Uhh... Egy szót se többet, vérrôl aztán ne, ebben a mocsárban végképp ne...
say.nr401_3_after_attack.96;Mindketten hátba szúrtak. Még mindig olyan mérges vagyok, mint egy rozsomák. Ám a hadjárat könyörtelen volt. A segítségükkel talán kevésbé lett volna az, és a legnagyobb kihívás még hátra van... Legyen hát. Visszafogadom mindkettôjüket.
say.nr401_3_after_attack.98;Köszönjük, Felség! Az istenekre esküszöm––

