menu.nr105_1_wedding.18;Hagyod, hogy a szerelmesek elmeneküljenek.
say.nr105_1_wedding.64;– felelte a királynô. –
say.nr105_1_wedding.66;"Ám mégsem hagyhatom, hogy arra kényszerítsenek, hozzámenj olyasvalakihez, akit nem szeretsz."\n
say.nr105_1_wedding.68;"Akkor hát... távozhatunk, Felség?!"\n
say.nr105_1_wedding.7;Bár a lyriai lovasok egész éjjel a szeszt nyakalták, nem csak hogy sikerült egyenesen ülve megmaradniuk a nyeregben, hanem még az emberrablókat is beérték, és elvágták elôlük a menekülés útját.
say.nr105_1_wedding.70;"Távozhattok. Amilyen gyorsan csak visz a lábatok. Még mielôtt meggondolom magam."
say.nr105_1_wedding.72;– mondta a királynô. –
say.nr105_1_wedding.74;"Attól tartok, másutt van halaszthatatlan dolgom,... ahol biztosan nincs sem zene, sem tánc. Tovább kell mennem, amilyen gyorsan csak lehet."\n\n
say.nr105_1_wedding.75;A lyriaiak folytatták a masírozást. Az élükön Meve léptetett, aki az egyre halkuló muzsikaszó ütemére dobolt halkan ujjaival a nyergének kápáján...
say.nr105_1_wedding.76;"Támadás! Fogjátok a leányt!"
say.nr105_1_wedding.8;Hirtelen kiáltás kélt, ahogy idegen fegyveresek rontottak be az udvarra.\n
title.nr105_1_wedding.1;Jóban-rosszban
title.nr105_1_wedding.338;Jóban-rosszban
title.nr105_1_wedding.43;Jóban-rosszban

