menu.nr301_3c_gabor_confession.1;Senki sem vizsgálódott?
say.nr301_3c_gabor_confession.323;Csak szerettem volna, ha tudja, mi forog kockán. De... tegyen, ahogy jónak látja. Mint mindig.
say.nr301_3c_gabor_confession.324;Át kell gondolnom, mi lenne a helyes. Addig is,... Gascon, gondoskodj róla, hogy Gábor a vendégünk maradjon.
say.nr301_3c_gabor_confession.325;Mindenképp. Azonnal szólni fogok, ha már csak a tekintetével menekülôút után találna kutatni.
say.nr301_3c_gabor_confession.37;Ahogy Meve a Hosszúhídhoz közeledett, utasításba adta a trombitásnak, hogy jelentse be az érkezésüket, aztán visszatért a sátrába, hogy felfrissítse magát. Gascon már odabent várt rá...
say.nr301_3c_gabor_confession.39;Nem emlékszem, hogy hívattalak volna.
say.nr301_3c_gabor_confession.41;Ebben az esetben el kell mondanom, hogy nincs okod az aggodalomra – semmi baja az emlékezôkészségednek. Nem hivatalos ügyben érkeztem, hanem csak úgy, úgymond diskurálni egyet.
say.nr301_3c_gabor_confession.43;Hmmm. Akkor javaslom, távozz, csak úgy. Tiszta öltözetet kell felvennem. Hamarosan találkozom az Elöljáróval, és szeretném, ha közben nem lóverejtéktôl bûzlenék.
say.nr301_3c_gabor_confession.45;Kétlem, hogy számára bármiféle különbséget jelentene ez. Higgy nekem, tudom, hogy mirôl beszélek. Mikor legutóbb találkoztunk vele, volt szerencsém széliránnyal szemben állni. És nem csak a tekintete volt szúrós.
say.nr301_3c_gabor_confession.51;Gascon, kezdem elveszíteni a türelmemet. Vagy bökd ki tüstént, miért jöttél, vagy kikísértetlek az ôreimmel.
say.nr301_3c_gabor_confession.53;Ahh... Egy csöpp humorérzéknek se semmi jele...
say.nr301_3c_gabor_confession.55;A leheletét érezhetted akkor. Olyan átható volt a szaga, hogy azt hittem, menten elájulok.
say.nr301_3c_gabor_confession.57;Pedig még a repülôsónál is hatásosabb lett volna, már ha magadhoz kellett volna téríteni––
say.nr301_3c_gabor_confession.59;Gascon! Kérlek! Ahh... Mostantól rémálmaim lesznek...
say.nr301_3c_gabor_confession.61;Ám nem ma éjjel. Félô, hogy egyáltalán nem fogsz tudni aludni. Ugyanis...
say.nr301_3c_gabor_confession.66;Volna itt valami, amirôl tudnod kell... És mindenképpen még azelôtt, mielôtt Brouverrel találkoznál.
say.nr301_3c_gabor_confession.70;A helyeken, ahonnan elirtottuk a szörnyeket, nos, én kutakodtam egy kicsit. Észrevettem valami különöset. Van tipped rá, mi lehet az?
say.nr301_3c_gabor_confession.72;Nincs. A monumentális törp építészetre gondolsz talán?
say.nr301_3c_gabor_confession.74;Csontokra, drága Meve. Törp csontokra. Találd ki, mit találtam rajtuk!
say.nr301_3c_gabor_confession.76;Várj, ne segíts! Harapásnyomokat?
say.nr301_3c_gabor_confession.78;Természetesen. Végtére is, a szörnyetegek tisztára csócsálták azokat... Ami által azonban véletlenül más jelek is észrevehetôvé váltak. Olyanok, amiket fejszék és kardok csinálnak. Hogy biztosra menjek, megmutattam a csontokat a seborvosainknak,... akik megerôsítették a feltételezésemet.
say.nr301_3c_gabor_confession.79;Miszerint? Az egész klán, a Fuchs-ok...
say.nr301_3c_gabor_confession.81;Nem a mélységekbôl elôtörô szörnyhordáknak estek áldozatul. A bestiák csupán csak felfalták a tetemeket, aztán beköltöztek az üresen maradt otthonokba.
say.nr301_3c_gabor_confession.83;Mármost, megosztottam a felfedezéseimet Gáborral,... és találd ki, erre mit csinált! Bepánikolt. Nekiállt fészkelôdni és sületlenségeket hadoválni... A jobb karomat tenném rá, hogy rejteget elôlünk valamit.
say.nr301_3c_gabor_confession.89;A francba...! Már az elejétôl fogva túlontúl készségesnek mutatkozott aziránt, hogy segíthessen nekünk. Már akkor gyanúsnak kellett volna lennie.
say.nr301_3c_gabor_confession.91;Rögtön érte is küldetek... És köszönöm, Gascon! Nem felejtem el ezt neked.
say.nr301_3c_gabor_confession.93;Gábor hamarosan a királynô színe elôtt állt. Az elején még megpróbálta kitérô válaszaival elmismásolni a dolgot, ám ahogy a királynô célirányos kérdéseivel egyik kifogását a másik után semmisítette meg, nem volt más választása, mint hogy színt valljon.

