menu.nr001_raynard_default.127;Villem nem alkalmas királynak...
say.nr001_raynard_default.166;És soha nem is tette. Tudja, mik voltak a halála elôtti utolsó szavai hozzám? "Ne bízz egyikükben sem, Meve... Csak Reynardban." Szegény öreg Reginaldnak legalább ebben igaza volt...
say.nr001_raynard_default.167;Köszönöm, hogy megosztotta velem a történetét, Reynard. Igazán.
say.nr001_raynard_default.172;Hmm... Talán játszhatnánk egy kör gwentet?
say.nr001_raynard_default.173;Kívánsága számomra parancs, Felség.
say.nr001_raynard_default.32;Talán szusszan egyet, Reynard?
say.nr001_raynard_default.33;Ó, igen... Persze, ha új parancsa van számomra, Felség, se perc alatt kész––
say.nr001_raynard_default.34;Csak nyugalom, Reynard. Lazítson.
say.nr001_raynard_default.35;Igen, Felség?
say.nr001_raynard_default.36;Felség,... szerettem volna még egyszer kifejezni hálámat a kegyelméért.
say.nr001_raynard_default.37;Kegyelmet gyakoroltam, igaz. De közben mást is éreztem: dühöt, fájdalmat, most pedig neheztelést...
say.nr001_raynard_default.38;Fájdalmat okozott nekem, Reynard, a lelkem mélyéig megsebzett... Nem tudom, mi egyebet mondhatnék még, így hát ne is beszéljünk róla.
say.nr001_raynard_default.39;Ahogy kívánja, Felség.
say.nr001_raynard_default.40;Attól tartok, Villem egyszerûen nem alkalmas királynak, legalábbis nem egy jó királynak.
say.nr001_raynard_default.41;Elég szigorú ítélet ez, Felség – ne hamarkodja el. A herceg alig tizenhat nyarat látott csupán...
say.nr001_raynard_default.42;És mégis: kész felnôtt. Az Ô korában már el kellene bírnia a korona súlyát.
say.nr001_raynard_default.44;Én pedig alig néhány hónapra hagytam a földjeinket az ôrizetére, és nézze, mi sült ki belôle. Útonállók járják a vidéket és fosztogatnak, megtorolatlanul.
say.nr001_raynard_default.47;Talán még tudomást szerezhetünk olyan, enyhítô körülményekrôl, amelyek más megvilágításba helyezik a képességeit meghaladó eseményeket...
say.nr001_raynard_default.48;Bár úgy volna, Reynard, bár úgy volna... Különben csak reménykedni tudunk, hogy Anséis több értelemrôl tesz tanúbizonyságot, mint a bátyja... Bár erre sem látok túl sok esélyt.
say.nr001_raynard_default.49;Ó... Hogy jutottunk idáig? Én, Meve, Lyria and Rívia királynôje, úgy settenkedem a bokrok alatt, mint holmi közönséges bandita.
say.nr001_raynard_default.50;És Ön, Reynard Odo tábornok... Egykor négy elit gyalogsági regiment büszke parancsnoka, egy dezertôrökbôl, útonállókból és kaszát lengetô parasztokból álló banda vezére.
say.nr001_raynard_default.51;Büszkén teszem, Felség.
say.nr001_raynard_default.52;Bizonyára csak tréfál, Reynard...
say.nr001_raynard_default.53;Felség, tíz évet szolgáltam férjura uralkodása alatt, az Öné során pedig nyolcat. És mind ez idô alatt egyszer sem harcoltam ennél nemesebb ügyért.
say.nr001_raynard_default.54;Nem földeket elorozni akarunk, sem pedig parasztlázadást szítani. Egész Északért harcolunk,... úgy a sajátunk, mint mások szabadságáért.
say.nr001_raynard_default.55;És Ön az egyetlen, aki nem adta fel, akinek esze ágában sem volt térdet hajtani Nilfgaardnak.
say.nr001_raynard_default.56;Igen, így igaz. És mire mentem vele.
say.nr001_raynard_default.57;A küzdelme még csak most kezdôdött, Felség. És minden erômmel azon leszek, hogy végül gyôzedelmeskedjék.
say.nr001_raynard_default.58;Hogy s mint, Reynard? Ön és Gascon jól kijönnek, remélem!
say.nr001_raynard_default.59;Nos... Mondhatjuk, hogy valamiféle egyetértésre jutottunk, Felség.
say.nr001_raynard_default.60;Meséljen többet, barátom.
say.nr001_raynard_default.61;Én nem ártom bele magam az ô ügyeibe, és ô se magát az enyéimbe.
say.nr001_raynard_default.62;Kedvemre valóbb volna, ha a parancsnokaim jobban összedolgoznának.
say.nr001_raynard_default.63;Felség,... az az ember egy briganti.
say.nr001_raynard_default.64;Á, Reynard... Csak volt briganti.
say.nr001_raynard_default.65;Félek, egyet nem értésemet kell kifejeznem. Való igaz, hogy egyelôre felhagyott a tolvajlással,... de csak mert számára most így kényelmes, hogy úgy mondjam. Gascon nem változott meg. Nincs egy csepp becsülete, sem méltósága––
say.nr001_raynard_default.66;Mégis, egy egész egységnyi felfegyverzett embere van, akik nélkül most mind sokkal rosszabb helyzetben lennénk, ha ugyan meg nem haltunk volna.
say.nr001_raynard_default.67;A Bitangok kitûnô harcosok – ezt el kell ismernem.
say.nr001_raynard_default.68;Csak attól félek, ellenünk fordulnak, és a torkunknak esnek akkor, amikor a legkevésbé sem számítunk rá...
say.nr001_raynard_default.69;Reynard... Ön harcolt az elsô, Nilfgaarddal vívott háborúban, nemde bár?
say.nr001_raynard_default.70;Igen, Felség. Bár akkor még csak mint százados.
say.nr001_raynard_default.71;A nilfgaardiak. Hasonlóképp kegyetlenek voltak? Égettek fel földeket, hurcoltak el parasztokat rabszolgának?
say.nr001_raynard_default.72;Nem, Felség. Azokban a napokban még becsülettel harcoltak.
say.nr001_raynard_default.73;Vajon... mi történt, mi változtatta meg ôket?
say.nr001_raynard_default.74;Úgy mondják, Emhyr var Emreis császár szíve az évek múltával megkeményedett. Könyörtelenné, kegyetlenné lett. A katonái buzgalma pedig csak követte a császárukét...
say.nr001_raynard_default.75;De Ön másképp gondolja.
say.nr001_raynard_default.76;Így van, Felség.
say.nr001_raynard_default.77;Ön szerint miért vetnek meg bennünket ennyire, a háborús idôkben pedig még inkább?
say.nr001_raynard_default.78;Mert sokkal könnyebb azt gyûlölni, akit ismerünk.
say.nr001_raynard_default.79;Az elsô háború elôtt semmit nem tudtak rólunk. Aztán látták, hogy az ô fegyvereik jobbak, a városaik grandiózusabbak, a flottáik nagyobbak... A mi városainkban meg a nyílt utcán hömpölyög a szenny.
say.nr001_raynard_default.80;És arra jutottak, hogy nem vagyunk velük egyenlôk. Mikor ilyesmiben hisznek, gyilkolni is könnyebb.
say.nr001_raynard_default.82;Egy valamit soha nem bocsátok meg magamnak: azt, hogy nem láttam át Caldwell ármánykodásán.
say.nr001_raynard_default.83;Már hónapok, ha nem évek óta tervezhette az árulást. És én mégsem sejtettem semmit.
say.nr001_raynard_default.84;Ne legyen túl szigorú önmagához, Felség.
say.nr001_raynard_default.85;Könnyû azt mondani. Ó, bárcsak idôben ráeszméltem volna––
say.nr001_raynard_default.86;Nilfgaard talált volna magának egy másik árulót... Vagy csak küldött volna egy orgyilkost.
say.nr001_raynard_default.87;Ami történt, elkerülhetetlen volt. A Feketék mindenképp támadtak volna. És nyílt ütközetben esélyünk nem volt se legyôzni, se visszaverni, sem pedig elûzni ôket.
say.nr001_raynard_default.88;Tehát,... ha ott lett volna, amikor a fônemesek összegyûltek, Ön is a térdhajtásra szavazott volna?
say.nr001_raynard_default.89;Nem. A becsületem soha nem engedte volna. Inkább vetettem volna magam tûzbe,... és haltam volna meg bolondként. Ahogy a dolgok állnak, még mindig akad lehetôség keresztbe tenni a megszálló szándékainak.
say.nr001_raynard_default.90;Úgy tûnik, a sors furcsa fordulata révén... mégiscsak hálás lehetek Caldwellnek.
say.nr001_raynard_default.92;A háború vége közelg... Mi vár Reynard Odóra?
say.nr001_raynard_default.93;Amit Felséged parancsol.
say.nr001_raynard_default.94;Ó...
say.nr001_raynard_default.95;Minden rendben, Asszonyom?

