menu.nr407_1_belleteyn_village.149;Szóval,... fel se kérhetem egy táncra?
say.nr407_1_belleteyn_village.38;A lyriaiakat nem kellett gyôzködni. Megdöbbentô gyorsasággal szabadultak meg páncéljaiktól és sisakjaiktól, aztán azon nyomban becsatlakoztak az ünneplésbe és a táncba.
say.nr407_1_belleteyn_village.4;Rövidesen egy kis falu tárult a szemük elé. A közepén egy hatalmas örömtûz lángolt, körülötte pedig meztéllábas, kacagó és rikkantgató parasztok ropták a táncot jókedélyûen és önfeledten. Aztán egyikük is, másikuk is észrevette a királynôt. Pár pillanat múltán mind elcsendesedtek, egymáshoz bújtak, {audio=nr407_1_belleteyn_village_fear_not} és gyerekek pillantgattak elô félôsen a felnôttek háta mögül.
say.nr407_1_belleteyn_village.6;"Ne féljetek"
say.nr407_1_belleteyn_village.69;Egy beszélgetés rendkívül jól megmaradt a királynô emlékezetében...
say.nr407_1_belleteyn_village.71;Mi a helyzet veled, Meve? Nem vagy egy táncos alkat?
say.nr407_1_belleteyn_village.73;Nem ismerem a lépéseket. A nevelônôimtôl megtanultam, hogyan kell keringôt járni. Ám attól tartok, semmi ilyesmit nem tanítottak.
say.nr407_1_belleteyn_village.75;Hát persze, gondolhattam volna – de Marquise grófné etikett kódexe. Soha nem engedne az ember lányának ilyen alantas és közönséges elhajlást.
say.nr407_1_belleteyn_village.77;Az istenekre,... az a vén boszorka. Tudod, arra sem emlékszem már, mikor hallottam utoljára a nevét...
say.nr407_1_belleteyn_village.79;Legyen könnyû neki a föld...
say.nr407_1_belleteyn_village.8;– mondta nekik Meve. –
say.nr407_1_belleteyn_village.81;Várjunk csak! Honnan ismered Te a de Marquise grófnét?
say.nr407_1_belleteyn_village.83;Tessék?
say.nr407_1_belleteyn_village.85;Elôttem nem kell szemérmesnek lenned. Vadembereket, akik az aljnövényzetben ólálkodnak, ritkán tanítanak az udvari etikettre.
say.nr407_1_belleteyn_village.87;Pfff, hát, ôszintén, nem dereng... Lefogadom, hallottam róla valahol.
say.nr407_1_belleteyn_village.89;És azt, ahogy beszélsz, ahogy a szavakat forgatod? Azt is csak hallottad valahol?
say.nr407_1_belleteyn_village.91;Hagyj lógva, Meve.
say.nr407_1_belleteyn_village.97;Nem titkoltál el már eddig is túl sokat?
say.nr407_1_belleteyn_village.99;Higyj nekem, ez teljesen más––
title.nr407_1_belleteyn_village.1;Hála'dás
title.nr407_1_belleteyn_village.2;Hála'dás
title.nr407_1_belleteyn_village.3;Hála'dás
title.nr407_1_belleteyn_village.306;Hála'dás
title.nr407_1_belleteyn_village.4;Hála'dás

