menu.nr501_4_epilogue_intro.110;Igaza van, Reynard. Köszönöm.
say.nr501_4_epilogue_intro.2;Észak seregei egyesültek, és minden fronton támadásba lendültek. Bár még mindig számbeli fölényben voltak, a birodalmi haderôk arcvonala mérföldek ezrein keresztül nyújtózott.
say.nr501_4_epilogue_intro.389;Ez a hely, ahol Nilfgaard a háború elsô napjaiban dicsôséges gyôzelmet aratott, hamarosan szemtanúja lett közelgô vereségének. Úgy tûnik, a történelemnek mégiscsak van igazságérzete, netán humorérzéke... Vagy mindkettô.
say.nr501_4_epilogue_intro.39;Beszéltem Demavend küldöttével. A király körülvette Aldersberget. Csak rád vár, hogy támadhasson.
say.nr501_4_epilogue_intro.390;Ez a felállás tarthatatlanná vált, és ezt Nilfgaard parancsnokai is jól tudták. Egy mindent eldöntô ütközetben még volt esélyük a végsô gyôzelemre, ezért mindent arra az egy ütközetre tettek fel,... és megsemmisítô vereséget szenvedtek.
say.nr501_4_epilogue_intro.391;Hogy utasíthatta volna vissza? Hiszen tartozott a királynak egy szívességgel. És – nem utolsó sorban – égett a vágytól, hogy elégtételt vegyen aep Dahy-n.
say.nr501_4_epilogue_intro.41;Nagyszerû! Semmi pénzért nem hagynám ki... Tudasd az egységekkel, hogy kezdhetnek készülôdni. És a vérszomjukat se felejtsék itt.
say.nr501_4_epilogue_intro.42;Ühümm. Szerintem inkább tôled szeretnék ezt hallani. Nem érzek túl nagy lelkesedést a részükrôl, amikor tôlem hallják a parancsokat.
say.nr501_4_epilogue_intro.44;Bocsáss meg... Attól tartok, mindig elfelejtem, hogy––
say.nr501_4_epilogue_intro.46;Nem Reynard vagyok.
say.nr501_4_epilogue_intro.48;Ez teljesen normális, hidd el. Az az ember volt a jobbkezed. Kell még némi idô, hogy hozzászokj a hiányához.
say.nr501_4_epilogue_intro.50;Hmm... Gyakran gondolok arra az éjszakára. Talán hibát követtem el. Talán nem kellett volna meghalnia.
say.nr501_4_epilogue_intro.52;Persze hogy nem kellett volna. Megadhatta volna magát.
say.nr501_4_epilogue_intro.54;Meve, nem érts félre, de... a pasas ízig-vérig katona volt, a hivatása mintapéldánya. Tudta, hogy meghalhat. És elképzelni sem tudnék ennél méltóságteljesebb és szebb halált.
say.nr501_4_epilogue_intro.61;Ahh... Azt hiszem, igazad van. De egy szeretett barát halála sohasem könnyû.
say.nr501_4_epilogue_intro.63;A halál sohasem szép, Gascon. Legfôképp nem egy számunkra kedves barát halála.
say.nr501_4_epilogue_intro.67;Elképzeltem, hogy véget ér a háború, Reynard szögre akasztja a kardját, letelepedik, és családot alapít...
say.nr501_4_epilogue_intro.69;Háhh! Te is átkozottul jól tudod, hogy sosem tett volna ilyesmit.
say.nr501_4_epilogue_intro.71;Miért is ne?
say.nr501_4_epilogue_intro.73;Meve... Te is biztosan tisztában voltál vele.
say.nr501_4_epilogue_intro.75;Reynard szerelmes volt beléd. Saját akaratából sohasem hagyta volna el az udvart, sem pedig Téged.
say.nr501_4_epilogue_intro.77;De... ô soha...
say.nr501_4_epilogue_intro.79;Persze hogy nem. Eltérô társadalmi státusz, lovagi becsülete, és a többi hasonló baromság. Talán másképp alakulhatott volna, tekintve az elmúlt néhány hónapot,... de, nos...
say.nr501_4_epilogue_intro.8;Alig néhány hónappal ama emlékezetes ríviai éjszaka után a birodalmi seregek teljes káoszba süllyedtek. Aldersberg erôdítménye maradt az ellenállásuk utolsó bástyája, aep Dahy tábornok és a "Kelet" Hadseregcsoport megmaradt túlélôi oda ásták be magukat.
say.nr501_4_epilogue_intro.81;A királynô elfordult. Nem akarta, hogy Gascon lássa, amint az eltemetett érzelmei a felszínre törnek.
say.nr501_4_epilogue_intro.84;Eleget beszéltünk. Aldersbergbe kell indulnunk.
say.nr501_4_epilogue_intro.87;Beszéltem Demavend küldöttével, Felség. A király körülvette Aldersberget. Egyelôre kivár, és addig nem kezdi meg a támadást, amíg Ön oda nem ér.
say.nr501_4_epilogue_intro.89;Helyes, ezt nem szándékozom kihagyni... Mondja meg az egységeknek, hogy készülôdjenek. Szítsák fel magukban a haragot.
say.nr501_4_epilogue_intro.91;Természetesen, Felség.
say.nr501_4_epilogue_intro.93;...
say.nr501_4_epilogue_intro.95;Igen? Van még valami?
say.nr501_4_epilogue_intro.97;Bocsásson meg a merészségemért, Felség, de... Nem tehetek róla, de aggódom. Nem alszik, mintha rossz lenne a közérzete, és nem is fest valami rózsásan...

