menu.nr201_4_vengerberg.114;Egy gyáva alak vagy.
say.nr201_4_vengerberg.70;Eh... Meve, amilyen gyönyörû vagy, legalább olyannyira kekeckedô...
say.nr201_4_vengerberg.711;Mit szólsz ehhez? Mahakam alig egy hétnyi lovaglásra van innen, ahol állig felfegyverzett törpök ezreit találhatod magadnak. Elegendôt, hogy megfordíthasd velük a háború menetét is. Lefogadom.
say.nr201_4_vengerberg.712;Igen, meglehet. Bár ennek némiképp ellentmondani látszik az a tény, miszerint a törpök híresek arról, hogy hidegen hagyja ôket az emberek közötti bármiféle torzsalkodás. Sosem lennének a segítségemre. Még abban is kételkedem, hogy hajlandóak lennének a földjükre beengedni.
say.nr201_4_vengerberg.713;Hacsak... fel nem mutatod nekik ezt. Az Ólomgyûrût – a barátság egy jelképet, amit az Elöljárójuk adott nekem.
say.nr201_4_vengerberg.714;Nem állíthatom, hogy tárt karokkal fogadnak majd... De meg fognak hallgatni. És az is több a semminél.
say.nr201_4_vengerberg.715;Hmm... Nagy hasznát venném a törp gyalogságnak... Úgy teszek, ahogy javasoltad. Vagy, legalábbis, megpróbálom.
say.nr201_4_vengerberg.72;Látod azt az épületet? Ott, amazt?
say.nr201_4_vengerberg.74;A... bordélyt? “A karmazsin köpönyeget”?
say.nr201_4_vengerberg.76;Pontosan azt. Szóval – és ígérd meg, hogy nem fogsz nevetni, de – úgymond mecénása vagyok ama mûintézménynek. Történetesen egy hûséges patrónusa. Az egyik ott dolgozó leányzó, Demaretta,... áh, ô egy csodálatos teremtés. Vele újra ifjúnak érzem magam.
say.nr201_4_vengerberg.78;Úgy érted, egy ifjú bolondnak. Demavend, épp háború zajlik, és...
say.nr201_4_vengerberg.80;Hadd fejezzem be. Demaretta, nos, várandós lett... Épp kilenc holdtöltével ezelôtt. Érted már?
say.nr201_4_vengerberg.82;Elkezdett már vajúdni? Vannak már összehúzódásai?
say.nr201_4_vengerberg.84;Tegnap óta. Mint láthatod hát,... nem hagyhattam ôt így itt, és nem is vihettem magammal. Maradnom kell, amíg életet nem ad a gyermeknek.
say.nr201_4_vengerberg.92;Demavend... Emberek ezreinek életét kockáztatod egyetlen gyermekért? Ráadásul egy fattyú életéért?
say.nr201_4_vengerberg.94;Meve... Emberek ezreit gyilkolnám le a gyermekemért. Legyen akár házasságban született, akár azon kívül... Ez semmin nem változtat.
say.nr201_4_vengerberg.96;Ez mindent megváltoztat. Vagy ez a gyermek lesz a trón örököse, vagy...
say.nr201_4_vengerberg.98;Eh, trónöröklésrôl papolsz itt nekem, miközben én az atyai szeretetrôl beszélek... De nem is várhatom el, hogy megértsd. A Te szíved hideg, mint a jég. Mindig is az volt. Nem csoda, hogy Villem––
title.nr201_4_vengerberg.251;Az utolsó bástya
title.nr201_4_vengerberg.293;Az utolsó bástya

