menu.nr310_1_thing.1;Megállj! Esetleg megválthatnám a szabadságát?!
say.nr310_1_thing.34;Bombát, ami még a kézben fölrobbant! Szakállnövesztô tonikot, amitôl lángra kapott a képünk! Zenélô dobozt a gyerkôcöknek – amit aztán ha egyszer felkurbliztál, onnantól baszott elkussolni!
say.nr310_1_thing.35;Csak meg kellett volna lazítani a csavart a hátulján, és––
say.nr310_1_thing.36;Pofa lapos, te svihák! De ez mind nem számít, mer' megbocsátottunk vó'na, ha nem szegi meg a szent törvényeinket és szokásainkat!
say.nr310_1_thing.37;És melyikeket? Ha nem bánod, hogy megkérdem.
say.nr310_1_thing.38;Betette a lábát a kovácsmûhelybe, sityakkal a fején! Nem átallott a szájával tartani a szögeket! És gyümölcsszirupot öntött a sörébe! Ráadásul málnát – pfajj!
say.nr310_1_thing.4;A kecske rúgja meg! Mi a fenét akarsz még?
say.nr310_1_thing.419;Hmm... Talán hagynunk kellene, hogy az Elöljáró bogozza ki ezt a csomót...
say.nr310_1_thing.420;Úgy van. Mert hát mindannyian tudjuk, mennyire szereti Hoog, ha ilyen ügyekkel zargatják.
say.nr310_1_thing.43;Tényleg megölnétek,... csak mert fütyörészett? Ez nevetséges!
say.nr310_1_thing.44;Neked talán az! De a mi földünkön vagy, ahol a mi törvényeik uralkodnak. És idegeneknek nincs beleszólása!
say.nr310_1_thing.45;Pontosan!
say.nr310_1_thing.47;Várj egy percet! Pontosan mit is mond a Törpôsök Kódexe? Melyik passzusát szegte meg?
say.nr310_1_thing.5;"Miért gyûltek itt össze ennyien?"
say.nr310_1_thing.50;Mi a––? Ho–– Honnan a–– Egy némber, aki ráadásul ember, honnan tudhat a Törvénykönyvünkrôl?
say.nr310_1_thing.6;"Dehogy"
say.nr310_1_thing.61;A ti földetek, a ti törvényeitek, nem kívánom vitatni egyiket sem. De talán volna más megoldás? Váltságdíjért kiválthatnám?
say.nr310_1_thing.62;Hajlandó vagyok a szaván fogni. Ez elég számodra?
say.nr310_1_thing.63;Ó! Megéri! Ô meg! Megéri!
say.nr310_1_thing.64;Hm... A törvény megenged ilyesmit... De nem látom, miért is érné meg neked ez a trágyakupac.
say.nr310_1_thing.65;Legyen. De csak hogy tisztázzuk: se áruvisszaküldés, se pénzvisszatérítés!
say.nr310_1_thing.67;Úrnôm... Nem is tudom, hogyan hálálhatnám meg...
say.nr310_1_thing.68;Hm? Ah, igen, természetesen, milyen buta is vagyok... Barnabás, Barnabás Beckenbauer. A barátaimnak Bibi.
say.nr310_1_thing.69;Ezt még megbeszéljük. Talán elôbb bemutatkozhatnánk?
say.nr310_1_thing.7;"Talán valamilyen ünnepnap van?"\n
say.nr310_1_thing.72;"Segítsééég! Mentsetek meeeg!!"
say.nr310_1_thing.74;– visította a gnóm. –
say.nr310_1_thing.75;– vakkantotta oda neki a mellette álló törp, aki aztán visszaszuszakolta a gnómot a hordóba, majd rárakta annak fedelét. –
say.nr310_1_thing.76;"Meg akarnak ölni, a szakadékba akarnak dobni."\n
say.nr310_1_thing.77;"Befogod a pofád!"
say.nr310_1_thing.8;– kérdezte a királynô. –
say.nr310_1_thing.80;"A bûneid már önmagukban olyan súlyosak, hogy ennél nem úszhatod meg kevesebbel!"\n\n
say.nr310_1_thing.81;A többi, körülöttük tolongó törp egyetértôen bólogatott. Ketten megfogták a hordót, az oldalára fektették, majd felemelték, hogy aztán a szakadékba vessék, nem is törôdve a belôle hallatszódó dörömböléssel...
say.nr310_1_thing.82;Azt is csak egyszer! És alig néhány cseppnyit!
say.nr310_1_thing.84;Felesleges magyaráznod a gazságaidat, csirkefogó! Kár szájalnod!
say.nr310_1_thing.86;És nem ezek vó'tak a legrosszabbak! A legfôbb bûntettét a végére tartogatta: lement a bányába,... és fütyörészett!
say.nr310_1_thing.88;O-hó, ó-ha, úgy van, ez tényleg rossz! Azt nem kellett volna!
say.nr310_1_thing.9;– válaszolta Gábor komoran. –
say.nr310_1_thing.90;Pedig azt csiná'ta! Fütyörészett! A szájával! És melléje még dudorászott is – zümmögô harmóniában! Mind hallottuk, a tárna teljes hosszában! És a Vének meghagyták, hogy a büntetése: halál! Halál... hordógurítás által!
say.nr310_1_thing.95;Ne izgasd fel magad, talán találhatunk más megoldást––
say.nr310_1_thing.97;Elég ebbôl a szájtépésbôl! Komák, szegezzétek rá a fedelet, aztán adjuk meg neki a kezdô löketet!
say.nr310_1_thing.99;A törvényeiteket nem értem,... de, mint vendégnek, el kell fogadnom ôket.
title.nr310_1_thing.1;Hordógurítás általi halál
title.nr310_1_thing.415;Hordógurítás általi halál

