menu.nr501_3_battle_for_rivia.109;Ostromba kezdesz, körülzárod Rívia várát.
say.nr501_3_battle_for_rivia.216;És nekem kell kijelölnöm, hogy ki menjen,... és ki vesszen oda.
say.nr501_3_battle_for_rivia.218;Nem kell kijelölnie senkit sem, mert hogy önként jelentkezem. És csak azokat viszem magammal, akik úgyszintén hajlandóak ekképpen tenni.
say.nr501_3_battle_for_rivia.220;Nyomorult egy terv ez.
say.nr501_3_battle_for_rivia.222;Van jobb terve talán?
say.nr501_3_battle_for_rivia.224;Természetesen. Én megyek.
say.nr501_3_battle_for_rivia.226;Hogy mondja? Én nem––
say.nr501_3_battle_for_rivia.228;Lássuk be, Reynard, még egy hulla mellett se tudna elosonni észrevétlenül. Úgy zörög abban a páncélban, mint egy nyavalyás csörgôdob.
say.nr501_3_battle_for_rivia.23;Menekülnünk kell. Elismerem, nem túl hôsies cselekedet,... de ezerszer jobb, mint ha a sárba tipornának bennünket.
say.nr501_3_battle_for_rivia.230;Arról nem is beszélve,... hogy maga Meve jobbkeze. Mellette kell lennie, amikor elkezdôdik a harc.
say.nr501_3_battle_for_rivia.236;Gascon, merre is található pontosan a kapunyitó szerkezet?
say.nr501_3_battle_for_rivia.238;Ha jól sejtem, akkor valahol a vár kikötôvel átellenes felén.
say.nr501_3_battle_for_rivia.24;Könnyû azt mondani. De volna itt egy probléma: a seregünket javarészt a gyalogság teszi ki. A közeledô seregben pedig több regimentnyi nehézlovasság érkezik. Nem remélhetjük, hogy elmenekülhetünk, sem pedig hogy elbújhatunk elôlük.
say.nr501_3_battle_for_rivia.240;Reynard?
say.nr501_3_battle_for_rivia.242;A bal oldali kaputorony felsô szintjén, az acélrács mögött.
say.nr501_3_battle_for_rivia.244;Ez eldöntetett. Értékelem a szolgálatkészséged, Gascon, nagyon is. De Reynard fogja vezetni a támadást.
say.nr501_3_battle_for_rivia.246;Hálás vagyok a belém vetett bizalmáért, Felség.
say.nr501_3_battle_for_rivia.248;Én vagyok hálás Önnek – mindenért, amit értem tett.
say.nr501_3_battle_for_rivia.25;Akkor mit javasol?
say.nr501_3_battle_for_rivia.252;Az istenek óvják útján. És kérem,... ne ölesse meg magát!
say.nr501_3_battle_for_rivia.253;Reynardnak nem okozott nehézséget, hogy önkénteseket találjon. Valójában sokkal több ember lépett elô annál, mint ahányakat magával vihetett. A sötétség leple alatt indultak el a vár felé, aminek a fényeit az esti köd homályosította el elôttük.
say.nr501_3_battle_for_rivia.256;Elôször is, Reynard... Hálás vagyok. Kiváló munka, barátom.
say.nr501_3_battle_for_rivia.258;Köszönöm, Felség.
say.nr501_3_battle_for_rivia.26;Két lehetôségünk maradt. A fegyverletétel––
say.nr501_3_battle_for_rivia.260;Ám – az igazat megvallva – valóban hallottam, amint a sátorhoz közeledik... Már a tábor másik végétôl.
say.nr501_3_battle_for_rivia.261;És tényleg mindenki másnál jobban ismeri Rívia várát. De a támadásnak csendben kell lezajlania. Gascon fogja vezetni az egységet.
say.nr501_3_battle_for_rivia.263;Megértettem, Felség.
say.nr501_3_battle_for_rivia.265;Köszönöm, Meve. Igyekszem nem csalódást okozni.
say.nr501_3_battle_for_rivia.267;Nem fogsz csalódást okozni, ebben biztos vagyok.
say.nr501_3_battle_for_rivia.271;Az istenek vezéreljenek az úton. És kérlek,... próbálj nem meghalni, ha lehet.
say.nr501_3_battle_for_rivia.273;Gascon maga választotta ki az embereit – azokat, akik a legügyesebben bántak a tôrrel és a fojtóhurokkal. Hangtalanul suhantak a vízen a sötétbe burkolózó vár felé, aminek a fényeit az esti köd homálya fedte.
say.nr501_3_battle_for_rivia.276;A lyriaiak teljes némaságba burkolózva, a sötétben készültek fel a harcra, nem volt fény más, csak a sápadt holdvilág. Meve nyugtalan volt. Idegesen rótta a köröket, várva a megbeszélt jelre.\n
say.nr501_3_battle_for_rivia.278;Végre egy fáklya halovány fénye jelent meg a vidék fölé tornyosuló falak magasában. Eltûnt, majd újra felgyulladt, aztán még egyszer megismételte ezt. Meve a levegôbe szökkent, és közben alig bírta visszafojtani a torkából feltörni akaró örömkiáltást.\n
say.nr501_3_battle_for_rivia.28;...vagy a vár bevétele. Még ma éjjel.
say.nr501_3_battle_for_rivia.280;Néhány minutum múlva lyriaiak százai rontottak elô a fák közül.\n
say.nr501_3_battle_for_rivia.282;Aztán láncok csörgését és csikorgását hallották, és ettôl a hangtól kirázta ôket a hideg. Zavarodottan figyelték, ahogy felemelkedik a fôkapu rostélya, és támadók serege özönlik be alatta.\n
say.nr501_3_battle_for_rivia.284;Meve a nap elején még nagy harcos volt. Másnap hajnalra már legendává vált. Egyik hatalmas csapás vásott el a másik után pajzsán, kardja pedig a legkisebb réseket is meglelte a fekete páncélok lemezei között. Abban a reményben, hogy hôsökké válhatnak, a harc kezdetén még a nilfgaardiak igyekeztek elérni a királynôt. Ám hamarosan ô lett az üldözô, amazok pedig menekülôre fogták a halál dalát éneklô pengéje elôl.\n
say.nr501_3_battle_for_rivia.286;Mi lehetett az a rendkívüli erô, ami átjárta Meve-et? Természetesen nem más, mint a vágy, hogy felszabadítsa királyságát és népét, kiûzze a megszállókat, és leszámoljon az öntelt aep Dahy tábornokkal...\n\n
say.nr501_3_battle_for_rivia.29;Az ki van zárva.
say.nr501_3_battle_for_rivia.291;De abban a pillanatban, mindenek elôtt, át akarta verekedni magát a kaputoronyig, hogy felmentô seregével kiszabadítsa Gascon csapatát szorongatott helyzetébôl.\n
say.nr501_3_battle_for_rivia.292;De abban a pillanatban, mindenek elôtt, át akarta verekedni magát a kaputoronyig, hogy felmentô seregével kiszabadítsa Reynard csapatát szorongatott helyzetébôl.
say.nr501_3_battle_for_rivia.3;Rívia vára ott magasodott a lyriaiak elôtt. Három oldalról víz, azon túl pedig kettôs falgyûrû övezte a belsô várat, ráadásként testes fiatornyok díszítették a védmûveket. Híresen nehéz volt bevenni, és története során mindössze csak egyszer cserélt gazdát: néhány hónappal korábban, amikor árulók tárták szélesre kapuját a nilfgaardiak elôtt.\n\n
say.nr501_3_battle_for_rivia.305;Meve a legrosszabbra számított: vérfürdôre és hullahegyekre. Ám a kaputoronyban minden csendes és nyugodt volt. Igaz ugyan, hogy a kapunyitó szerkezet helyiségébe vezetô ajtó szétroncsolódva hevert a padlón, de ez volt az egyetlen jele annak, hogy dulakodás zajlott odabent. "Mi történhetett itt?" – kérdezte magában.\n\n
say.nr501_3_battle_for_rivia.309;Nagy óvatosan lépett be és nézett körül, Gascon és harcosainak nyomai után kutatva.
say.nr501_3_battle_for_rivia.310;Nagy óvatosan lépett be és nézett körül, Reynard és embereinek nyomai után kutatva.
say.nr501_3_battle_for_rivia.312;Helyettük azonban Villemet pillantotta meg,... egy sarokba lerogyva, amint vértôl nedvesen csillogó hasát szorongatta, nem lévén elég ujja ahhoz, hogy az összes sebet lefogja. Meve letépte magáról a palástját, és odarohant, hogy a posztóval állítsa el a vérzést.
say.nr501_3_battle_for_rivia.314;"Villem... Mi-mi történt itt?"\n
say.nr501_3_battle_for_rivia.316;"A hibáimat... próbáltam meg jóvá tenni"
say.nr501_3_battle_for_rivia.318;– zihálta a herceg. –
say.nr501_3_battle_for_rivia.320;"Kérlek,... bocsáss me––"\n
say.nr501_3_battle_for_rivia.321;Az ifjú hercegnek torkán akadt a szó. Már nem sikerült befejeznie a mondandóját, mielôtt a tekintete elhomályosult.\n\n
say.nr501_3_battle_for_rivia.323;Gascon nyomakodott át a gyalogok tétova sorai között.
say.nr501_3_battle_for_rivia.327;Reynard nyomakodott át a gyalogok tétova sorai között.
say.nr501_3_battle_for_rivia.328;Odatérdelt a királynô mellé, és elmondta neki, mi történt. Nekik nem sikerült idôben eljutniuk a kaputoronyig, de Villemnek igen. Amikor meglátta, hogy a lyriai csapatok odakint gyülekeznek, a herceg felrohant a csörlôkhöz, és egymaga nyitotta ki a kaput. Mire a nilfgaardiaknak sikerült újra becsukniuk azt, már késô volt: a lyriaiak bejutottak.
say.nr501_3_battle_for_rivia.329;"Nem a gyásznak van most itt az ideje"
say.nr501_3_battle_for_rivia.331;– forrongott Meve azon küzdve, hogy higgadt maradjon, –
say.nr501_3_battle_for_rivia.333;"hanem a háborúnak. A mészárlásnak. A bosszúnak. Miután ma gyôzelmet aratunk, visszaszerezzük az otthonunkat, visszatérünk a családjainkhoz, és végre letesszük a fegyvert. De amíg nem lesz miénk a gyôzelem, addig pengéinket vérben kell fürösztenünk. A nilfgaardiak vérében!"
say.nr501_3_battle_for_rivia.334;A lyriaiak küzdelme fordulóponthoz érkezett. Követték Meve-et mérföldek ezrein át, hamuval hintett mezôkön át, hófödte hegyeken át, rémisztô mocsarakon át. Az oldalán megvívtak és túléltek számtalan csatát. És bár tekintetük elcsigázottságról árulkodott, a királynô tudta, hogy akár a tûzbe is követnék ôt.\n
say.nr501_3_battle_for_rivia.338;"Felség... A Feketék a Felsôvárba vették be magukat. Megpróbáltunk áttörni, de nem jártunk sikerrel..."\n
say.nr501_3_battle_for_rivia.339;Meve bólintott, letörölte a pengéjét, majd lóra ült. Tekintetébôl színtiszta elszántság sugárzott.\n
say.nr501_3_battle_for_rivia.34;Reynard, ismer engem... Elsôként rontanék a harc sûrûjébe, és ontanám a birodalmiak vérét. De ez, ez ôrültség lenne.
say.nr501_3_battle_for_rivia.340;"Akkor megpróbáljuk újra."
say.nr501_3_battle_for_rivia.341;Meve irgalmat tanúsított a hadifoglyokkal szemben, tudván, hogy azok csak parancsot teljesítettek. Halál csak arra az emberre várt, aki kiadta a parancsokat: Ardal aep Dahy-ra.
say.nr501_3_battle_for_rivia.343;Ám a tábornoknak nyoma veszett. Az egyik fogoly elárulta, hogy aep Dahy elmenekült, amint a lyriaiak megrohamozták a Felsôvárat. Egy, az élelem felvonására használt vesszôkosárban siklott alá az Alsóvárba. Úgy iszkolt el a krumplihéjak és egyéb ételmaradékok között kuporogva, mint egy nem hétköznapi féreg.
say.nr501_3_battle_for_rivia.344;Meve átkozta a balszerencséjét, és nekidôlt a pártázatnak. A hajnal még órákra volt, de a látóhatár már vérvörösen derengett keleten. Ugyan a nilfgaardi utánpótlás egyre közeledett, de túlságosan is megkésve ahhoz, hogy megakadályozhatták volna a vár elestét.\n
say.nr501_3_battle_for_rivia.345;"El fogom kapni"
say.nr501_3_battle_for_rivia.347;– morogta a királynô, bár leginkább csak önmagának. –
say.nr501_3_battle_for_rivia.349;"Esküszöm mindenre, ami szent, hogy elkapom a szukafattyát. De most sürgetôbb dolgunk is akad: fel kell készülnünk a védelemre."
say.nr501_3_battle_for_rivia.350;Tudja, minden legyôzött sereg helyét újabbak veszik majd át. Nagyobbak és jobban felszereltek, mint a korábbiak. Még most is, miközben mi ilyen kedélyesen elcseverészünk itt, a "Kelet" Hadseregcsoport épp erre tart, hogy felszabadítsa a várat az ostrom alól.
say.nr501_3_battle_for_rivia.351;A nilfgaardi védôk megtöltötték a kôhajítókat és a dárdavetôket. De nem siették el, ugyanis meg voltak róla gyôzôdve, hogy a falak továbbra is áthatolhatatlanok.
say.nr501_3_battle_for_rivia.353;"Lyriaaaa!!!"\n
say.nr501_3_battle_for_rivia.36;A vár közönséges támadással bevehetetlen, már ha egyáltalán bevehetô bármiképp. És úgy, hogy alig nyolc óránk maradt...? Nem.
say.nr501_3_battle_for_rivia.37;Feltételezzük egy pillanatra, hogy lehetséges volna. Mondja el, miképp, és milyen áron. Hordjuk halomba a bajtársak hulláit mindaddig, amíg el nem érjük a fal tetejét?
say.nr501_3_battle_for_rivia.378;"Megcsinálták! Sikerült nekik!"
say.nr501_3_battle_for_rivia.379;Rövidesen férfiak léptek be a helyiségbe, és a királynôt térdre rogyva találták, amint öklével a falat veri, és könnyek patakzanak a szemébôl. Villem mozdulatlanul feküdt mellette, a palástjával letakarva.
say.nr501_3_battle_for_rivia.39;Tudom, hogy háború van, és az veszteségekkel jár... De arra utasítani a csapatainkat, hogy vegyék be a fellegvárat, az felér egy halálos ítélettel.
say.nr501_3_battle_for_rivia.391;"Sok szerencsét..."
say.nr501_3_battle_for_rivia.392;– suttogta, tekintetét az erôdítmény falaira függesztve, amiket úgy takart a sötétség, mint valami lepel.
say.nr501_3_battle_for_rivia.393;"A kutyafáját, de sokáig tart... Túlságosan is sokáig."
say.nr501_3_battle_for_rivia.394;Aep Dahy tábornok egy elitalakulatot küldött a kaputorony visszafoglalására. De ô is tudta, hogy hiábavaló volt, és hogy minden elveszett, amint meglátta Meve-et bevágtatni a belsôudvarra.
say.nr501_3_battle_for_rivia.395;"Ess'sheyss! Acht cuan aen Lyrien!"\n
say.nr501_3_battle_for_rivia.396;"Ratreut! Ratreut!!!"\n
say.nr501_3_battle_for_rivia.397;"Kövessetek! Mozgás! Gyerünk!"\n
say.nr501_3_battle_for_rivia.398;"Tròcair! Neen tuvean!"\n\n
say.nr501_3_battle_for_rivia.4;Idegen lobogókat lengetett a falakon a szél, rajtuk az arany nappal és aep Dahy tábornok címerével. Rívia várának falain. Az otthon falain. Komor csend telepedett a csapatokra, s a számos diadal fölött érzett öröm és büszkeség azonnal elillant. Mert mindannyian tudták, hogyha a királynô elrendeli az ostromot, akkor sokan közülük odavesznek, mire másnap felkel a nap.\n
say.nr501_3_battle_for_rivia.407;"Légy óvatos, Anyám"
say.nr501_3_battle_for_rivia.408;– mondta neki Villem. –
say.nr501_3_battle_for_rivia.409;"Jobban ismerem aep Dahy-t, mint bárki más... Annak az embernek mindig van valami meglepetés a tarsolyában."\n
say.nr501_3_battle_for_rivia.410;"Akad nekünk is néhány tarsolynyi meglepetésünk számára. De köszönöm a figyelmeztetést és az aggódásod."
say.nr501_3_battle_for_rivia.413;Igen, valami nem volt rendjén... Túl sima volt az utunk, túl zavartalan.
say.nr501_3_battle_for_rivia.417;Ez... öngyilkosság!
say.nr501_3_battle_for_rivia.420;Villem! Itt az idô! Fújasd meg a kürtöket! Támadunk!
say.nr501_3_battle_for_rivia.43;Meve vére a fülében dübörgött, miközben feszülten figyelte, ahogy a csónakok tovasuhannak a tó vizén. Minden ezen a küldetésen állt vagy bukott: a királyságai sorsa, talán egész Észak sorsa, a maga és az emberei élete. Ám egyelôre nem tehetett mást, mint hogy várt...\n\n
say.nr501_3_battle_for_rivia.5;Neeeeem!!!
say.nr501_3_battle_for_rivia.6;"Felség..."
say.nr501_3_battle_for_rivia.66;Ahogy Meve átlépett a toronyba vezetô ajtón, a csendbôl már tudta, hogy elkésett. Reynard emberei lemészárolva, önnön vérük tócsáiban feküdtek, a férfi pedig falnak vetett háttal ült, a mellkasából kiálló kettétört lándzsát markolászva. Meve letépte magáról a palástját, és a sebre szorítva azt kétségbeesetten próbálta meg elállítani a vérzést.
say.nr501_3_battle_for_rivia.67;"Úton a segítség. Kérem, tartson ki...!"\n
say.nr501_3_battle_for_rivia.68;"Bocsánatát kérem... még ez egyszer..."
say.nr501_3_battle_for_rivia.69;"de nem engedelmeskedhetem a parancsának,... Királynôm..."\n\n
say.nr501_3_battle_for_rivia.70;– zihálta Reynard, –
say.nr501_3_battle_for_rivia.71;A kaputorony lépcsôjén felfelé igyekvô felcserek csupán pár lépésnyire voltak,... amikor eljutott hozzájuk az elnyújtott, velôt rázó jajveszékelés. A helyiségbe érvén a királynôt térdre rogyva találták, amint az öklével verte a falat, és szemeibôl patakzott a könny. Reynard mozdulatlanul feküdt mellette, a királynô palástjával letakarva.
say.nr501_3_battle_for_rivia.72;Ahogy Meve átlépett a toronyba vezetô ajtón, a csendbôl már tudta, hogy elkésett. Gascon emberei lemészárolva, önnön vérük tócsáiban feküdtek, a férfi pedig falnak vetett háttal ült. A mellkasából kiálló három nyílvesszô együtt emelkedett és süllyedt minden egyes lélegzetvételével. Meve letépte magáról a palástját, és a sebre szorítva azt kétségbeesetten próbálta meg elállítani a vérzést.
say.nr501_3_battle_for_rivia.73;"Úton a segítség. Meg ne próbálj itt meghalni nekem!"\n
say.nr501_3_battle_for_rivia.74;"Tudod..."
say.nr501_3_battle_for_rivia.75;"ah,... mindig is élveztem,... ha olyasmit csinálhatok, amivel felbosszanthatlak..."\n\n
say.nr501_3_battle_for_rivia.76;– zihálta Gascon egy halovány mosollyal az ajkain, –
say.nr501_3_battle_for_rivia.77;A kaputorony lépcsôjén felfelé igyekvô felcserek csupán pár lépésnyire voltak,... amikor eljutott hozzájuk az elnyújtott, velôtrázó jajveszékelés. A helyiségbe érvén a királynôt térdre rogyva találták, amint az öklével verte a falat, és szemeibôl patakzott a könny. Gascon mozdulatlanul feküdt mellette, a királynô palástjával letakarva.
say.nr501_3_battle_for_rivia.88;A királynô mereven tartott vállakkal, ökölbe szorított kezekkel és elfehéredett ujjakkal állt fel. Arcán nem tükrözôdött sem bánat, sem elkeseredettség... Csak mérhetetlen, forrón izzó harag.\n
say.nr501_3_battle_for_rivia.9;Én is csak ugyanezt mondhatom el Önrôl. Meglepett, nem is, lenyûgözött azzal, hogy nem fogta el és fejeztette le a küldöncömet.
say.nr501_3_battle_for_rivia.90;Nilfgaardnál volt az elôny, ám a Feketék lelkülete megtört. Eztán már több hasznát látták a pajzsaiknak, mint a kardjaiknak. Amikor Meve végül áttört a soraikon, a megadás jeleként a magasba emelték fegyvereiket. Rívia vára elesett, újra az övé lett.\n
title.nr501_3_battle_for_rivia.357;A Rívia váráért vívott ütközet
title.nr501_3_battle_for_rivia.471;A Rívia váráért vívott ütközet
title.nr501_3_battle_for_rivia.472;A Rívia váráért vívott ütközet
title.nr501_3_battle_for_rivia.473;A Rívia váráért vívott ütközet

