menu.nr504_1_fallen_industry.12;Harc nélkül foglalod el a várost.
say.nr504_1_fallen_industry.3;Amikor a városban állomásozó Feketék megpillantották a közeledô lyriaiakat, azon nyomban megfutamodtak, még a város kapuit is tárva-nyitva hagyták sietségükben. De nem távoztak üres kézzel. Vagy egy tucat, rogyásig megpakolt szekérbôl álló konvojjal menekültek.\n
say.nr504_1_fallen_industry.30;– szólt a királynô, –
say.nr504_1_fallen_industry.32;"azt tôlem veszik el – és azt vissza fogom szerezni. Utánam!"\n\n
say.nr504_1_fallen_industry.34;Meve megsarkantyúzta a lovát, és a távolodó menetoszlop nyomába eredt. Amikor a Feketék rájöttek, hogy esélyük sincs a menekülésre, megálltak, leplántálták a lándzsáikat, megvetették a lábukat, és felkészültek a támadásra...
say.nr504_1_fallen_industry.35;"Alig néhány hónappal ezelôtt mi voltunk azok, akik megfutottunk a Feketék hordái láttán"
say.nr504_1_fallen_industry.37;– mondta Meve undorról árulkodó hangon. –
say.nr504_1_fallen_industry.376;Mahakam miatt. Miután a törpök birodalma néhány évtizeddel korábban megnyitotta kapuit az emberek kereskedôi elôtt, ezáltal a kiváló minôségû – és, nem utolsó sorban, az emberekénél olcsóbb – fegyvereinek kiáramlása elôtt, a karavánok többé nem jöttek Szélesfejbe áruért...
say.nr504_1_fallen_industry.377;"A fenébe! Vissza Szélesfejbe! Vágta!"
say.nr504_1_fallen_industry.378;Meve úgy döntött, hogy beszédet intéz a tömeghez...
say.nr504_1_fallen_industry.379;Egészen addig, amíg meg nem pillantották Villemet. Akkor aztán pusmogni és morgolódni kezdtek.
say.nr504_1_fallen_industry.384;És mögöttük meg Villem herceget, aki nem is oly rég térdet hajtott a Feketéknek.
say.nr504_1_fallen_industry.39;"Mostanra fordult a kocka – mi lettünk az elnyomók. Azt mondom, hadd fussanak. Hadd lássa egész Rívia, ahogy Nilfgaard fülét-farkát behúzza ahelyett, hogy szembeszállna velünk."\n\n
say.nr504_1_fallen_industry.41;A királynô a nyitott városkapu felé léptetett, szándékolt lassúsággal, és közben azon tûnôdött, miféle zsákmányt vihettek magukkal a megszállók.
say.nr504_1_fallen_industry.44;Meve személyesen – és minden finomkodás nélkül – rázta meg a nilfgaardi parancsnokot, egy fazonra borotvált bajuszú fiatal nemest. Mint sok birodalmi nemes, az ifjú is folyékonyan beszélte a közöst.\n
say.nr504_1_fallen_industry.46;"Mi van a szekereken, Százados?"\n
say.nr504_1_fallen_industry.48;"Fémhulladék, Felség"
say.nr504_1_fallen_industry.5;"Vajon miket visznek magukkal?"\n
say.nr504_1_fallen_industry.50;– bökte ki minden kertelés nélkül a birodalmi tiszt. Látva a királynô értetlen tekintetét, jobbnak látta kifejteni a dolgot. –
say.nr504_1_fallen_industry.52;"Megolvasztani, új nyíl- és lándzsahegyek öntéséhez. A mérnökeink Szélesfej öntödéit szerették volna felhasználni erre a célra, ám azok túl primitívnek bizonyultak. Azt a parancsot kaptuk, hogy vigyük máshova a fémet."
say.nr504_1_fallen_industry.53;A diadaluk fölött érzett bármiféle büszkeség nyomban elenyészett. Meve-et majd' szétvetette a düh,... és a szégyen. A szégyen, amit amiatt érzett, hogy a megszállók a királyságát csupán egy gyenge, visszamaradott koszfészeknek tartják.\n\n
say.nr504_1_fallen_industry.55;Meve lecsapta a felnyitott láda tetejét.\n
say.nr504_1_fallen_industry.6;"Akármik is legyenek azok, jó nehezek"
say.nr504_1_fallen_industry.60;Málladozó falak, betört ablakok, korhadó faépítmények... Szélesfej lepusztult volt, csak halvány árnyéka régi önmagának. Ahogy a lyriaiak bevonultak, városlakók figyelték az érkezôket szótlanul, elkomorult ábrázattal...
say.nr504_1_fallen_industry.62;Szélesfej jó népe! Ezennel szabadok vagytok! A nilfgaardi megszállásnak vége––
say.nr504_1_fallen_industry.64;Úgy biza', és egy új kezdôdik mostan!
say.nr504_1_fallen_industry.71;Bolond vagy, ember? Talán nem ismered fel a lobogóinkat? A lyriai hadsereg áll elôttetek!
say.nr504_1_fallen_industry.73;Ó, felismerem én a lobogókat. Tizenöt hosszú esztendôt szolgáltam alattuk ôrmesterként.
say.nr504_1_fallen_industry.75;Aztán visszatértem a szülôvárosomba. És tudja, mit találtam? Nélkülözést és mocskot, Felség...
say.nr504_1_fallen_industry.77;Minden elszaródott. A nyavalyás törpök miatt! Évek óta özönlik tôlük a fémáru Ríviába, és nekünk, kovácsoknak, már annyira se fussa, hogy befûtsünk a kohóinkba!
say.nr504_1_fallen_industry.79;A lyriai hadseregnek mondják magukat. A lobogók meg a páncélok is alátámasztani látszanak ezt. De mi a helyzet a fegyverekkel? Úgy látom, nem a mi mûhelyeinkbôl kerültek ki. Hanem Mahakaméból – a legmegátalkodottabb ellenlábasainkéból. A teringettét, látok is a soraikban néhány golyófejût...
say.nr504_1_fallen_industry.8;– felelte Gascon hunyorogva. –
say.nr504_1_fallen_industry.81;Szóval miféle szabadság az, amit adott itt nekünk, Felség? Hogy a közös nyelven kéregessünk inkább, ne pedig Nilfgaard korcs nyelvén?
say.nr504_1_fallen_industry.83;Kéregetni?! Mirôl hadoválsz itt, ember?
say.nr504_1_fallen_industry.85;Nincs adó kivetve a Mahakamból bejövô termékekre. Anélkül viszont a mi mûhelyeinknek esélyük sincsen velük szemben. És Ön, Felség? A páncéljukban parádézik, a fegyvereiket forgatja,... és még a szakállas szarháziakat is idehozza a küszöbünkre.
say.nr504_1_fallen_industry.94;Nem kell ezt tovább hallgatnom. Ôrség! Húsz botütést neki!
say.nr504_1_fallen_industry.96;Hahh! Hallottátok ezt, jó emberek?! Látjátok most már? Ez az a szabadság, amit a királynônk oly nagy kegyesen nekünk adományoz!
say.nr504_1_fallen_industry.98;Csendet, te ostoba!
title.nr504_1_fallen_industry.1119;Járulékos veszteség
title.nr504_1_fallen_industry.374;Járulékos veszteség
title.nr504_1_fallen_industry.474;Járulékos veszteség

