menu.nr302_1_dragon_brides.107;Elismerem, az már másfelé billenti a mérleget...
say.nr302_1_dragon_brides.7;"Talán villám csaphatott néhány kiszáradt fába..."\n
say.nr302_1_dragon_brides.70;"Helyes."
say.nr302_1_dragon_brides.81;Aznap sok lyriai veszett oda. Vagy a sárkány mindent elemésztô tüze végzett velük, vagy a hússzaggató karmainak estek áldozatul. De az áldozatuk nem volt hiábavaló. A törpök segítségével képesek voltak súlyosan megsebezni, és menekülésre kényszeríteni Keltullis-t. A sérült bestia fájdalmas üvöltése végigzengett az egész völgyön...
say.nr302_1_dragon_brides.83;Úgy van, üvölts, te aljas féreg! Sose kellett volna ránk támadnod, nem igaz? Átkozott tüzes gyík...
say.nr302_1_dragon_brides.85;Meve,... ez itt Vavrinek, a város vénje és a Ferencek klánfôje.
say.nr302_1_dragon_brides.87;Üdvözletem,... és részvétem.
say.nr302_1_dragon_brides.89;Ehh... nem történt semmi. Ha Te nem vagy, kô kövön nem maradt volna.
say.nr302_1_dragon_brides.9;"Nem"
say.nr302_1_dragon_brides.90;Hogy ôszinte legyek,... amikor meghallottam, hogy valami ember-királynô jött Mahakamba segítséget kérni, azt mondtam, hogy elôbb nôjön sáfrány a valagamból, mint hogy igennel szavazzak rá.
say.nr302_1_dragon_brides.91;Utána aztán féltem is volna bekukkantani a gatyámba, de... meggondoltam magam. Azután, amit ma láttam, amit értünk tettél,... Tiéd a támogatásom, és a Ferencek örök hálája.
say.nr302_1_dragon_brides.93;Köszönöm! A nilfgaardi veszedelemmel szembenézve ez nagyon sokat jelent nekem.
say.nr302_1_dragon_brides.95;Bocsássatok meg, amiért félbeszakítom ezt a csodálatos, szemeket könnybe lábasztó fajok közötti megbékélést, de nem bírom tovább magamban tartani! Vavrinek, mi a démonszar történt? Miért támadt rátok Keltullis?
say.nr302_1_dragon_brides.97;Én is csak annyit tudok, amennyit te, azaz lópikulát! Csak fölénk röppent, aztán elkezdett tüzet köpködni! Egy szemvillanás alatt lángba borult a fél település!
say.nr302_1_dragon_brides.99;A kecske seggét...! Háromszáz esztendeig jó szomszédságban éltünk vele...
title.nr302_1_dragon_brides.407;Drakonida vonzalom

