menu.nr502_1_nilfgaardian_settlers.16;Megengeded a nilfgaardi telepeseknek, hogy maradjanak.
say.nr502_1_nilfgaardian_settlers.70;A nilfgaardi telepesek megkönnyebbüléssel fogadták el Meve feltételeit... Azonban az emberei már kevésbé voltak elragadtatva a döntéstôl. Miközben a sereg elhagyta Füzesligetet, a katonák kisebb cirkuszt rendeztek, amikor távoztukban sorra ütötték ki a parasztok kezébôl a felajánlott ételt és italt.
say.nr502_1_nilfgaardian_settlers.85;Meve visszatért Füzesligethez és az azt körülvevô tuskórengeteghez.
say.nr502_1_nilfgaardian_settlers.87;"Van itt fácán, fajdkakas és fogoly is bôségesen – majd meglátod"
say.nr502_1_nilfgaardian_settlers.89;– mondta elfojtott izgalommal a hangjában Meve, miközben odafordult nyergében Gasconhoz.
say.nr502_1_nilfgaardian_settlers.9;"Ideje megvívnunk a sorsdöntô csatáinkat, Reynard"
say.nr502_1_nilfgaardian_settlers.90;"A szukafattyak még a szerencsétlen fáknak sem hagytak békét..."
say.nr502_1_nilfgaardian_settlers.92;– forrongott Gascon.
title.nr502_1_nilfgaardian_settlers.466;Új otthon
title.nr502_1_nilfgaardian_settlers.86;Új otthon

