menu.nr304_1_gold_rush.2;Megnézed, mi folyik a bányában.
say.nr304_1_gold_rush.58;"Ezek az Ön alattvalói, Királynô. Szemet vetettek a szomszédaik tulajdonára, igaz,... de csak mert nekik maguknak semmijük nincs."
say.nr304_1_gold_rush.6;"Ha ily módon adósommá tehetem a barátaidat..."
say.nr304_1_gold_rush.60;"Meve... Ez kemény dió, tudom"
say.nr304_1_gold_rush.62;– mondta Gábor. –
say.nr304_1_gold_rush.64;"De ne ámítsuk magunkat. Ezek a férfiak tolvajok, és át kell adni ôket a mahakami gárdának."\n
say.nr304_1_gold_rush.68;Meve nehéz szívvel adta át a ríveket a mahakami gárdának. Vajon mi lett a sorsuk? Nem tudnék biztosat mondani. Ám többé senki nem látta ôket.
say.nr304_1_gold_rush.70;– mondta a királynô, –
say.nr304_1_gold_rush.72;"és így is lett. Ami pedig titeket illet... Térjetek haza Ríviába. És mondjátok el mindenkinek, hogy a királynôjük hamarosan visszatér. Egy hadsereg élén."\n\n
say.nr304_1_gold_rush.74;A hálás rívek hamar összeszedték a szerszámaikat, és maguk mögött hagyták a hegyeket. Meve–nek nem volt kétsége afelôl, hogy Brouver Hoog hamarosan tudomást szerez az incidensrôl, és nem lesz elragadtatva a döntésétôl. De inkább vállalta, hogy szembenéz a haragos Elöljáróval, semmint hogy az alattvalóit törp börtönbe küldje... és ezzel, vélhetôen, a halálukba.
say.nr304_1_gold_rush.92;Mialatt Meve távol volt, semmi nem változott. A törpök továbbra is a bánya bejárata elôtt várták, hogy abbamaradjon a föld alól felhallatszó kopogás...
say.nr304_1_gold_rush.93;Sajnos a ríviaiak túl közel ástak már meglévô járatokhoz, így amikor Gábor ledöntötte a köztük és a törpök között lévô falat, meg voltak arról gyôzôdve, hogy szörnyek támadtak rájuk, ezért önvédelembôl maguk elé kapták a fegyvereiket.\n
say.nr304_1_gold_rush.94;"én a saját törvényeink szerint mondanék fölöttük ítéletet. Tetszik vagy sem, Brouver Hoognak is megvan ugyanehhez a joga."\n
say.nr304_1_gold_rush.96;– mondta a királynô némi mérlegelés után, –
say.nr304_1_gold_rush.97;"Felség,... mi a... mi Felséged alattvalói vagyunk..."\n\n
say.nr304_1_gold_rush.98;"Hisz tudja jól, milyenek, Királynôm..."
title.nr304_1_gold_rush.409;Kísértet-járta bánya
title.nr304_1_gold_rush.567;Kísértet-járta bánya

