menu.nr401_4_battle_for_the_bridge.88;Hátrahagyod a sebesülteket, és azonnal folytatod az utadat.
say.nr401_4_battle_for_the_bridge.52;"Hahh! Még valaki?"
say.nr401_4_battle_for_the_bridge.54;– szakította félbe Gascon. –
say.nr401_4_battle_for_the_bridge.56;"És merô véletlenségbôl egyikôjüket sem ülte meg szôrén egy vámpír? Részeg vagy, ember, a fene essen beléd! Meve, most mi legyen?"\n
say.nr401_4_battle_for_the_bridge.58;A királynô visszafordult a mocsár irányába. A fák között elô-elôtûnt egy aranyló napkorongos lobogó.\n
say.nr401_4_battle_for_the_bridge.60;"Ezt késôbb beszéljük meg"
say.nr401_4_battle_for_the_bridge.62;– mondta a királynô, és kivonta kardját. –
say.nr401_4_battle_for_the_bridge.64;"Feltéve, ha életben maradunk.
say.nr401_4_battle_for_the_bridge.65;Egy vörös üstökû, hosszú szempillájú fiú állt Meve elôtt. Egyidôs lehetett Villemmel, talán egy kicsit idôsebb. {audio=nr401_4_battle_for_the_bridge_soldier_in_mud}A teste lecsúszott a pengérôl, összenyeklett, majd eltûnt a sötéten kavargó lápvíz bûzös habjai között. Meve úgy hajította el a kardját, mintha az égette volna a kezét.
say.nr401_4_battle_for_the_bridge.66;"Felség! Mi történt? Megsérült?"
say.nr401_4_battle_for_the_bridge.67;– kérdezte Reynard a királynô felé futtában.\n
say.nr401_4_battle_for_the_bridge.73;"Nem, én nem. Jól vagyok. Adja ki a parancsot, menetelünk tovább. Komp nélkül gyalogolnunk kell Rôtlobindenig, a folyópart mentén."\n
say.nr401_4_battle_for_the_bridge.75;"Felség... Gondoskodnunk kell a sebesültekrôl. Talán a nap hátralévô részére pihenôt tarthatnánk..."
say.nr401_4_battle_for_the_bridge.77;"Nincs arra idônk"
say.nr401_4_battle_for_the_bridge.79;– vágott a szavába Gascon. –
say.nr401_4_battle_for_the_bridge.83;"Ez csak az elôôrs volt, azért vettek üldözôbe, hogy lelassítsanak. És még így is, mindegyikünkre kettô jutott belôlük! Mi lesz akkor, amikor a fô sereg ideér? Menekülnünk kell. Most!"\n
say.nr401_4_battle_for_the_bridge.85;"És hagyjuk hátra a sebesülteket? Hogy a sárban fekve vérezzenek el?"\n
say.nr401_4_battle_for_the_bridge.87;"Ha kell, Reynard, igen. Hacsak nem szeretné, ha maradnánk, és mi is velük halnánk."
say.nr401_4_battle_for_the_bridge.93;"Reynard... Becsülettel vezetni, s nem pedig önzô, rideg számítással – ha megtehetném, mindig az elôbbit választanám..."\n
say.nr401_4_battle_for_the_bridge.95;"Felség, könyörögve kérem..."\n
say.nr401_4_battle_for_the_bridge.97;"Ám Gascon érvei kikezdhetetlenek. Azonnal indulunk, máskülönben azt kockáztatjuk, hogy mindannyian itt veszünk. És mindent, amit ez idáig tettünk, kockára teszünk: a megvívott csatákat, a sok kiontott vért... Mindez a semmiért lenne. Ezt nem engedhetem."\n
say.nr401_4_battle_for_the_bridge.99;"Felség... Tudja, hogy nem érthetek ezzel egyet. Amit ez után tesz, ahhoz nem asszisztálhatok."\n
title.nr401_4_battle_for_the_bridge.300;Folyásiránt
title.nr401_4_battle_for_the_bridge.312;Folyásiránt
title.nr401_4_battle_for_the_bridge.879;A hídért vívott csata

