menu.nr503_1_good_nilfgaardian.114;Támadást rendelsz el Sártelek ellen.
say.nr503_1_good_nilfgaardian.7;"de csak veszteségekkel... Jelentôs veszteségekkel."\n
say.nr503_1_good_nilfgaardian.70;"Amikor a mocsok Feketék elfogták a fiamat, azon hamarjában fel akarták lógatni. Tódor szót emelt az érdekében, megmentette az életét!"\n
say.nr503_1_good_nilfgaardian.72;"Rajtam is segített!"
say.nr503_1_good_nilfgaardian.74;– kiáltotta egy nô a tömegbôl. –
say.nr503_1_good_nilfgaardian.76;"Éhes voltam. És megosztotta velem, amije volt!"
say.nr503_1_good_nilfgaardian.78;A polgárok egymást túlharsogva kezdtek ordibálni. Egyesek a kovács jó cselekedeteit sorolták, mások pedig árulónak bélyegezték, és azt követelték, hogy kegyetlen vég legyen a jussa.\n\n
say.nr503_1_good_nilfgaardian.86;"Ez az ember fegyvereket kovácsolt a nilfgaardiaknak, való igaz"
say.nr503_1_good_nilfgaardian.88;– mondta Meve a tömegnek. –
say.nr503_1_good_nilfgaardian.9;"Visszavonulás? Ez a javaslata?"\n
say.nr503_1_good_nilfgaardian.90;"De te, pék, sütötted a kenyeret, amit ettek. Te pedig, fazekas, készítetted a kupákat, amikbôl ittak. Akarva vagy akaratlanul, de mindannyian segítettétek a megszállókat. Hol ér véget valaki mesterségének az ûzése, és honnan kezdôdik már az árulás? Erre nem tudom a választ. Ezért hát nem fogok megbüntetni senkit sem azért, mert azt csinálta, amihez ért."
say.nr503_1_good_nilfgaardian.92;A döntést hallván a királynô emberei elôbb hitetlenkedve néztek egymásra, majd néhányan zúgolódni kezdtek. Amint nyugodt léptekkel megindult a sátor felé, amazok megjegyzéseket tettek és fütyültek. Végül már Reynardnak kellett lecsitítania ôket.\n\n
say.nr503_1_good_nilfgaardian.93;"Húsz katona adta ma az életét azért, hogy Sárteleket kiszabadíthassa Nilfgaard markából"
say.nr503_1_good_nilfgaardian.95;– mondta Meve, hangja hûvös volt és engesztelhetetlen. –
say.nr503_1_good_nilfgaardian.97;"A te acélod okozta a vesztüket, ezért a véreddel fogod megfizetni az adósságodat. Öt korbácsütés legyen a jussod minden elesett után."\n\n
say.nr503_1_good_nilfgaardian.99;Tódor kínzói számosan voltak, ugyanis egy férfi karja sem bírt száz korbácsütést rámérni. Csodával határos módon Tódor túlélte a megpróbáltatást,... de a teste megtöretett. Soha többé nem tudta megemelni a kalapácsot, és hátralevô életében koldusként tengôdött.
title.nr503_1_good_nilfgaardian.121;A kollaboráns
title.nr503_1_good_nilfgaardian.464;A kollaboráns

