menu.nr202_1_travellers_tree.17;Betartatod a törvényt, és elütteted a katona kezét.
say.nr202_1_travellers_tree.26;"Nem. Majd én megteszem"
say.nr202_1_travellers_tree.27;– jelentette ki Meve olyan hangon, amirôl mindannyian tudták, hogy nem tûr ellentmondást. –
say.nr202_1_travellers_tree.28;"Katona, a becsületemet szándékoztad megvédeni. Ezért hálás vagyok neked. Ám mert gyilkosságot követtél el, meg kell hogy büntesselek – a vidék törvényeinek megfelelôen."\n
say.nr202_1_travellers_tree.29;Bár könnyek patakzottak a gyalog arcán, feltûrte a gambesonja ujját, és egy fatönkre fektette az alkarját. Meve mély levegôt vett, aztán megemelte kardját. Egy fájdalmas sikoly töltötte be az erdôt.\n\n
say.nr202_1_travellers_tree.30;Az utazókban tisztelet ébredt Meve iránt. Bár korántsem voltak tehetôsek, elôbb körbeadtak egy kalpagot, majd átnyújtottak a királynônek egy maréknyi érmét hálájuk jeléül, amiért betartotta a törvényeiket. A lyriaiak pedig {audio=nr202_1_travellers_tree_riding_off}komor csendben vonultak el a Vándorok Bükkfája alól.
say.nr202_1_travellers_tree.31;Meve odalépett a megvádolt katonához, aki könnyes szemekkel épp az ítéletére várt. A férfi vállára tette a kezét.\n
say.nr202_1_travellers_tree.32;"Ez az ember megvédte a becsületemet"
say.nr202_1_travellers_tree.33;– jelentette ki fennhangon a királynô. –\n
say.nr202_1_travellers_tree.34;"Ezért nem büntetés, hanem hála illeti meg ôt. Ti pedig ne feledjétek: legyen az bárki, aki rágalmazni merészel, keservesen megbûnhôdik miatta."\n\n
say.nr202_1_travellers_tree.35;Meve egységei gúnyolódások és szitokszavak közepette meneteltek tovább. Ám a katonák a királynôjükre büszkén, felszegett fejjel masíroztak ezután.
say.nr202_1_travellers_tree.42;Kíváncsiságtól hajtva Meve újfent a Vándorok Bükkfája közelében találta magát. A katonái a döntésére vártak...
say.nr202_1_travellers_tree.52;Hosszú órák teltek el, ám a katona nem érkezett vissza...\n
say.nr202_1_travellers_tree.54;"Az istenek legyenek átkozottak"
say.nr202_1_travellers_tree.56;– morogta a királynô. –
say.nr202_1_travellers_tree.58;"Reynard! Küldjön a nyomába néhány embert!"\n\n
say.nr202_1_travellers_tree.8;A lyriaiak egy ôsöreg, félig kiszáradt bükkfához értek. A fa törzse vastag gyökerek kuszaságából meredt, és szövegekkel telerótt papirosok borították azt az aljától a tetejéig. Utazók vették körül a fát: mezítlábas menekültek, csupa csont és bôr zarándokok, vándorárusok fegyveresek kíséretében, és sunyi tekintetû férfiak, akik leginkább elvadult kinézetû dezertôröknek tûntek.\n
say.nr202_1_travellers_tree.9;Egyszer csak egy vérfagyasztó sikoly hasított bele a körös-körül folyó diskurzus zajába. Meve katonái szóváltásba keveredtek néhány fegyveressel, akik egy kereskedôt védelmeztek, aki épp a földön feküdt mozdulatlanul, egy tátongó sebbel a nyakán.\n
title.nr202_1_travellers_tree.252;Vándorok bükkfája

