menu.nr501_2_meeting_vilem.28;Ne játsszd itt az áldozatot.
say.nr501_2_meeting_vilem.64;Harmadszor, én maradok az örökösöd, és a következô az örökösödési sorban.
say.nr501_2_meeting_vilem.72;Pimasz gyermek. Mérhetetlen ez az arcátlanság.
say.nr501_2_meeting_vilem.74;Nos,... meg kellett próbálnom. Ég veled, Anyám. És legyen––
say.nr501_2_meeting_vilem.76;Megállj! Egy szóval sem mondtam, hogy elutasítom a feltételeidet.
say.nr501_2_meeting_vilem.78;Khm. Rajtam hát a sor, hogy hallgassalak.
say.nr501_2_meeting_vilem.80;Engedetlen vagy, Villem... Amilyennek lenned is kell. Bármely jövôbeni királynak biztosnak kell lennie magában és az ítéleteiben, mert csak önmagára számíthat.
say.nr501_2_meeting_vilem.82;Én... köszönöm. Sosem feltételeztem volna––
say.nr501_2_meeting_vilem.84;Még nem végeztem. Ideje, hogy halld az én feltételeimet.
say.nr501_2_meeting_vilem.86;Lemondasz a koronáról és a királyi palástról. Napkeltétôl napnyugtáig munkálkodni fogsz. És minden egyes csatában az elsô sorban harcolsz majd. Érthetô voltam?
say.nr501_2_meeting_vilem.88;Igen... Igen, Felség.
say.nr501_2_meeting_vilem.90;Akkor ezt elrendeztük. Vár ránk az út.
say.nr501_2_meeting_vilem.92;Villem meghajolt, sarkon fordult, és távozott. Meve, bár felindultan indult a nyomába, nem tudta elnyomni az arcára kiülô mosolyt...
say.nr501_2_meeting_vilem.93;Ezeket a feltételeket nem fogadhatom el.
say.nr501_2_meeting_vilem.95;Nos,... meg kellett próbálnom, Anyám.
say.nr501_2_meeting_vilem.97;Azonban nem tagadom, hogy bátorságra vallott a részedrôl. Gyere ide! Nézz a szemembe. Ez... nem lehetett könnyû.
say.nr501_2_meeting_vilem.99;Nem. Nem volt az.
title.nr501_2_meeting_vilem.315;A tékozló fiú

