menu.nr401_2_caldwell.174;Addigra már rég továbbállok.
say.nr401_2_caldwell.218;"Egyesek azt mondják, bestia... Mások azt, hogy istenség. Gernichora, így nevezik. És meglátja majd, Úrnôm, hogy az Ysgith vörösen fénylik a vérétôl."
say.nr401_2_caldwell.219;Egy butácska kis mese, amivel a gyermekeket rémisztgetik – gondolta az elején Meve... Aztán elbizonytalanodott. Volt valami a férfi hangjában, amitôl minden szava hihetônek tetszett.\n\n
say.nr401_2_caldwell.22;A csata végéhez közeledvén Meve megrohamozta a nagy erôdtornyot, ahová Caldwell menekült. A királynô csapást csapás után osztva, véres testeket hagyva maga után hágott fel a lépcsôkön. Amikor felért a legfelsô szintre, ott találta a grófot, aki úgy várt rá, hogy még csak nem is védte magát.
say.nr401_2_caldwell.220;"Nem túl biztató... Mégis, inkább, mint a biztos halál. Mondd, az Ysgithbôl eljuthatunk a Jaruga partjára? Rôtlobinden közelébe, esetleg?"\n
say.nr401_2_caldwell.222;"Igen, Felség. Nem kell mást tenniük, mint északnak tartani... És egész úton imádkozni."
say.nr401_2_caldwell.224;Nemsokára Meve ott állt, ahová a lovászfiú irányította: egy végeláthatatlan láp szélén. Egyik lábát óvatosan belemerítette a mocskos szennylébe, és próbált szilárt talajra lelni benne. Rövidesen követ érzett a talpa alatt. Egy elôvigyázatosan megtett lépés, aztán egy másik... Meve lassan lábalt az Ysgith felé.
say.nr401_2_caldwell.23;Ha a kegyelmemre számít, akkor fájdalmasan csalódni fog.
say.nr401_2_caldwell.24;Kegyelemre? Ahhoz túlságosan is jól ismerem már, Meve. Mindig bosszúszomjas és könyörtelen.
say.nr401_2_caldwell.25;Mondja ezt a lovagi erények mintaképe. Hátba szúrt, Caldwell. És ehhez Villemet használta fel! A fiamat!
say.nr401_2_caldwell.26;Aki ebbe egy pillanatnyi habozás nélkül beleegyezett! A saját fia hagyta cserben. A saját húsa és vére! Mit mond el mindez Önrôl?
say.nr401_2_caldwell.27;Ó, vékony jégen táncol. Javaslom, óvatosan válogassa meg a következô szavait...
say.nr401_2_caldwell.28;Kíméljen meg a fenyegetéseitôl. Így is, úgy is végez velem.
say.nr401_2_caldwell.30;Az egyik ilyen kényszerpihenô során hallotta meg Meve azokat a szavakat, amiket már régóta vágyott hallani...\n
say.nr401_2_caldwell.301;Meve leporolta a kezeit. Az áruló elnyerte méltó jutalmát. De nem most volt itt az ideje örülni a gróf végzete fölött... Ha Caldwell igazat beszélt, akkor a királynô és serege nagy veszélyben forgott.
say.nr401_2_caldwell.302;"Most próbálj meg harmadjára is túljárni az eszemen."\n\n
say.nr401_2_caldwell.32;"Felség, Tuzla vára! A tornyát – látom a tornyát!"
say.nr401_2_caldwell.34;Katonái legnagyobb ámulatára Meve letépte magáról az alkarvédôit, és nekirugaszkodott a legközelebbi fatörzsnek. A saját szemével akarta látni a várat, hogy tudja, valóban közel már az édes bosszú.
\n
say.nr401_2_caldwell.36;Nem volt egyszerû felhágni a fa törzsén, ugyanis az csúszós volt, és az ágak, amiket átjárt a rothadás, pedig törékenyek. Ennek ellenére Meve fürgének és ügyesnek bizonyult. Gyerekként imádott fára mászni, amivel a pesztráját minduntalan a rémületbe kergette.
say.nr401_2_caldwell.38;Meve egy irdatlan nagy tornyot látott az égbolt elôterében magasodni. A legenda úgy tartja, hogy Tuzla várának eredetileg három bástyája volt. De Ragbard király, az erôd építtetôje felhagyott a grandiózus tervvel, amikor Angren mocsaras útjai egyik kôszállítmányt nyelték el a másik után.\n\n
say.nr401_2_caldwell.39;Egy nyugodt pillanat, egy pillanatnyi csendes öröm volt ez Meve számára. {audio=nr401_2_caldwell_meve_breath}Mélyet lélegzett, magába szívta az ingovány bûzétôl mentes levegôt, kiélvezte a szúnyogok zümmögésétôl mentes csöndet. És kiélvezte a kilátásait: a Caldwell elleni közelgô leszámolást.
say.nr401_2_caldwell.55;Meve megint a Tuzla vára melletti erdôbe találta magát. Az emberei készenlétben álltak, várakozásteljesen néztek rá...
say.nr401_2_caldwell.59;– mondta a királynô. –
say.nr401_2_caldwell.61;"De ez nem elég ok arra, hogy kapkodjunk. Végtére is, a bosszú hidegen tálalva a legjobb."\n
say.nr401_2_caldwell.63;A királynô halogatta a támadást... De csak egy rövid ideig.
say.nr401_2_caldwell.64;Mégis, ahogy a várhoz közeledtek, és felkaptattak egy nagyobb sziklaplatóra, a hevületük megtört, a lelkesedésük alábbhagyott. Bevettek már vastagabb falak kerítette, magasabb tornyok alkotta és több ember által védett erôdítményeket. De nem láttak, s nem is ostromoltak még erôdöt, ami ily faramuci módon állt ki a környezô vidékbôl. Egyáltalán lehetséges derékig érô lápvízben megrohanni a bástyákat?
title.nr401_2_caldwell.296;Bosszúnak ideje
title.nr401_2_caldwell.459;Bosszúnak ideje
title.nr401_2_caldwell.460;Bosszúnak ideje

