credits_2d_artist;2D Artist
credits_devops_lead_release_manager;Devops Lead / Release Manager
credits_didgeridoo;Didgeridoo
credits_digital_marketing_director;Digital Marketing Director
credits_direct_marketing_manager;Direct Marketing Manager
credits_director;Director
credits_director_analytics_and_monetization;Director - Analytics & Monetization
credits_director_galaxy;Director - Galaxy
credits_director_liveops;Director - LiveOps
credits_director_of_global_production;Director of Global Production
credits_director_of_marketing_production;Director of Marketing Production
credits_director_of_pr_and_communication;Director of PR and Communication
credits_director_of_quality_assurance;Director of Quality Assurance
credits_do_they_want_to_list_all_artists_involved?;do they want to list all artists involved?
credits_editor;Editor
credits_electric_cello;Electric Cello
credits_embedded_qa_coordinator;Embedded QA Coordinator
credits_employment_and_payroll;Employment and Payroll
credits_employment_and_payroll_manager;Employment and Payroll Manager
credits_employment_and_payroll_specialist;Employment and Payroll Specialist
credits_employment_specialist;Employment Specialist
credits_english;English
credits_english_adaptation;English Adaptation
credits_english_adaptation_director;English Adaptation Director
credits_english_adaptation_specialist;English Adaptation Specialist
credits_english_localization;English Localization
credits_english_voiceovers;English Voiceovers
credits_esports;ESPORTS
credits_esports_manager;Esports Manager
credits_event_manager;Event Manager
credits_events;EVENTS
credits_external_development_support;EXTERNAL DEVELOPMENT SUPPORT
credits_eyck_of_denesle;Eyck of Denesle
credits_featured_soloists;Featured Soloists
credits_fiddle;Fiddle
credits_finances_and_accounting;FINANCES & ACCOUNTING
credits_financial_controller;Financial Controller
credits_flutes;Flutes
credits_forum_manager;Forum Manager
credits_french;French
credits_french_localization_and_voiceovers;French Localization and Voiceovers
credits_gabor_zigrin;Gabor Zigrin
credits_galaxy_team;GALAXY TEAM
credits_game_design;Game Design
credits_game_director;Game Director
credits_gameplay_design_coordinator;Gameplay Design Coordinator
credits_gameplay_designer;Gameplay Designer
credits_gameplay_programmer;Gameplay Programmer
credits_gameplay_programming;Gameplay Programming
credits_gameplay_qa_analyst;Gameplay QA Analyst
credits_gameplay_qa_coordinator;Gameplay QA Coordinator
credits_gascon;Gascon
credits_general_manager;General Manager
credits_general_manager_china;General Manager - China
credits_german;German
credits_german_localization;German Localization
credits_german_voiceovers;German Voiceovers
credits_global_marketing_lead;Global Marketing Lead
credits_global_production;GLOBAL PRODUCTION
credits_global_production_manager;Global Production Manager
credits_gm_vp_bd_china;General Manager/VP, Business Development, China
credits_gog;GOG
credits_gog_marketing_team;GOG Marketing Team
credits_gogcom_team;GOG.COM TEAM
credits_graphic_designer;Graphic Designer
credits_gwent_babies;GWENT BABIES
credits_gwent_development_team;GAME DEVELOPMENT TEAM
credits_gwent_pets;Gwent pets
credits_gwent_the_witcher_card_game;GWENT: THE WITCHER CARD GAME
credits_head_global_communications;Head of Global Communications
credits_head_of_art_division;Head of Art Division
credits_head_of_communications_ibero-america_and_italy;Head of Communications - Ibero-America & Italy
credits_head_of_finance;Head of Finance
credits_head_of_it;Head of IT
credits_head_of_lqa;Head of LQA
credits_head_of_production;Head of Production
credits_head_of_studio;Head of Studio
credits_helpdesk_coordinator;Helpdesk Coordinator
credits_helpdesk_technician;Helpdesk Technician
credits_hr;HR
credits_hr_and_administration_director;HR & Administration Director
credits_hr_manager;HR Manager
credits_hr_partner;HR Partner
credits_hr_processes_quality_expert;HR Processes Quality Expert
credits_hr_specialist;HR Specialist
credits_hurdy-gurdy;Hurdy-gurdy
credits_ice_troll;Ice Troll
credits_illustrations;Illustrations
credits_illustrator;Illustrator
credits_ilustration_and_concept_art;Illustration and Concept Art
credits_income_senior_tax_specialist;Income Senior Tax Specialist
credits_independent_accountant;Independent Accountant
credits_integrated_information_systems;INTEGRATED INFORMATION SYSTEMS
credits_intellectual_property_counsel;Intellectual Property Counsel
credits_internal_communication_and_culture_manager;Internal Communication and Culture Manager
credits_isbel_of_hagge;Isbel of Hagge
credits_it_event_support_specialist;IT Event Support Specialist
credits_it_manager;IT Manager
credits_it_monitoring_team;IT Monitoring Team
credits_it_specialist;IT Specialist
credits_it_support_specialist;IT Support Specialist
credits_it_system_administration_coordinator;IT System Administration Coordinator
credits_it_system_administrator;IT System Administrator
credits_it_team;IT Team
credits_it_team_title;GOG IT TEAM
credits_italian;Italian
credits_italian_localization;Italian Localization
credits_italian_voiceovers;Italian Voiceovers
credits_japanese_localization_and_voiceovers;Japanese Localization and Voiceovers
credits_jira_administrator;Jira Administrator
credits_junior_2d_artist;Junior 2D Artist
credits_junior_3d_artist;Junior 3D Artist
credits_junior_accounts_and_records_specialist;Junior Accounts and Records Specialist
credits_junior_administrative_specialist;Junior Administrative Specialist
credits_junior_animator;Junior Animator
credits_junior_business_systems_specialist;Junior Business Systems Specialist
credits_junior_character_artist;Junior Character Artist
credits_junior_community_manager;Junior Community Manager
credits_junior_copywriter;Junior Copywriter
credits_junior_designer;Junior Designer
credits_junior_employment_and_payroll_specialist;Junior Employment and Payroll Specialist
credits_junior_environment_artist;Junior Environment Artist
credits_junior_event_manager;Junior Event Manager
credits_junior_game_designer;Junior Game Designer
credits_junior_gameplay_designer;Junior Gameplay Designer
credits_junior_gameplay_qa_analyst;Junior Gameplay QA Analyst
credits_junior_legal_specialist;Junior Legal Specialist
credits_junior_lighting_artist;Junior Lighting Artist
credits_junior_marketing_specialist;Junior Marketing Specialist
credits_junior_php_programmer;Junior PHP Programmer
credits_junior_pr_specialist;Junior PR Specialist
credits_junior_producer;Junior Producer
credits_junior_production_specialist;Junior Production Specialist
credits_junior_project_manager;Junior Project Manager
credits_junior_qa_analyst;Junior QA Analyst
credits_junior_sound_designer;Junior Sound Designer
credits_junior_tech_programmer;Junior Tech Programmer
credits_junior_technical_artist;Junior Technical Artist
credits_junior_technical_support_specialist;Junior Technical Support Specialist
credits_junior_ui_programmer;Junior UI Programmer
credits_junior_ui_qa_analyst;Junior UI QA Analyst
credits_junior_ux_designer;Junior UX Designer
credits_junior_vfx_artist;Junior VFX Artist
credits_junior_video_editor;Junior Video Editor
credits_kemenche;Kemenche
credits_kobyz;Kobyz
credits_korean_localization;Korean Localization
credits_korean_voiceovers;Korean Voiceovers
credits_kosmonolith;Kosmonolith
credits_language_coordinator;Language Coordinator
credits_latin_american_spanish;Latin American Spanish
credits_latin_american_spanish_localization;Latin American Spanish Localization
credits_latin_american_spanish_voiceovers;Latin American Spanish Voiceovers
credits_lead_animator;Lead Animator
credits_lead_character_artist;Lead Character Artist
credits_lead_character_technical_director;Lead Character Technical Director
credits_lead_concept_artist;Lead Concept Artist
credits_lead_designer;Lead Designer
credits_lead_developer;Lead Developer
credits_lead_graphic_designer;Lead Graphic Designer
credits_lead_producer;Lead Producer
credits_lead_programmer;Lead Programmer
credits_lead_recording_engineer;Lead Recording Engineer
credits_lead_software_engineer_backend;Lead Software Engineer - Backend
credits_lead_software_engineer_client;Lead Software Engineer - Client
credits_lead_software_engineer_frontend;Lead Software Engineer - Frontend
credits_lead_software_engineer_galaxy;Lead Software Engineer - Galaxy
credits_lead_software_engineer_pipeline;Lead Software Engineer - Pipeline
credits_lead_software_engineer_sdk;Lead Software Engineer - SDK
credits_lead_translator_and_editor;Lead Translator & Editor
credits_lead_ui_artist;Lead UI Artist
credits_lead_ui_programmer;Lead UI Programmer
credits_legal;LEGAL
credits_legal_counsel;Legal Counsel
credits_level_design;Level Design
credits_level_designer;Level Designer
credits_liveops;LiveOps
credits_localization;Localization
credits_localization_and_english_adaptation;Localization and English Adapation
credits_localization_manager;Localization Manager
credits_localization_producer;Localization Producer
credits_localization_project_manager;Localization Project Manager
credits_localization_qa;LOCALIZATION QA
credits_localization_qa_analyst;Localization QA Analyst
credits_localization_qa_tester;Localization QA Tester
credits_locqa_coordinator;LocQA Coordinator
credits_logistics_manager;Logistics Manager
credits_lqa_manager;LQA Manager
credits_lqa_project_lead;LQA Project Lead
credits_lqa_project_manager;LQA Project Manager
credits_lqa_senior_technician;LQA Senior Technician
credits_main_development_team;Can Explode - Main Menu Development Team
credits_managing_director;Managing Director
credits_marketing;MARKETING
credits_marketing_creative_team;MARKETING CREATIVE TEAM
credits_marketing_director;Marketing Director
credits_marketing_director_north_america;Marketing Director - North America
credits_marketing_illustrator;Marketing Illustrator
credits_marketing_manager_korea;Marketing Manager - Korea
credits_marketing_manager_north_america;Marketing Manager - North America
credits_marketing_specialist;Marketing Specialist
credits_mastering;Mastering
credits_member_of_the_board;Member of the Board
credits_member_of_the_board_cfo;Member of the Board, CFO
credits_member_of_the_board_svp_of_business;Member of the Board / SVP of Business
credits_meve;Meve
credits_mielec_suka;Mielec Suka
credits_motion_designer;Motion Designer
credits_multiplayerserver_programmer;Multiplayer/Server Programmer
credits_music;MUSIC
credits_music_by;Music by
credits_music_director;Music Director
credits_narrative_qa_coordinator;Narrative QA Coordinator
credits_narrator;Narrator
credits_network_programmer;Network Programmer
credits_network_programmers_coordinator;Network Programmers Coordinator
credits_network_programming;Network Programming
credits_nyckelharpa;Nyckelharpa
credits_online_marketing_manager;Online Marketing Manager
credits_online_marketing_specialist;Online Marketing Specialist
credits_oustsource2us;Oustsource2us
credits_outsource_producer;Outsource Producer
credits_payroll_team_leader;Payroll Team Leader
credits_percussion;Percussion
credits_performance_marketing_manager;Performance Marketing Manager
credits_php_programmer;PHP Programmer
credits_pipeline_programmer;Pipeline Programmer
credits_pipeline_programmers_coordinator;Pipeline Programmers Coordinator
credits_płock_fiddle;Płock Fiddle
credits_polish;Polish
credits_polish_voiceovers;Polish Voiceovers
credits_post_coordinator;Post Coordinator
credits_pr_and_communication;PR AND COMMUNICATION
credits_pr_manager;PR Manager
credits_pr_manager_france;PR Manager - France
credits_pr_manager_gsa;PR Manager - GSA
credits_prepared_violin;Prepared Violin
credits_president_joint_ceo;President, Joint CEO
credits_principal_character_artist;Principal Character Artist
credits_principal_concept_artist;Principal Concept Artist
credits_principal_designer;Principal Designer
credits_principal_writer;Principal Writer
credits_producer;Producer
credits_producer_assistant;Producer assistant
credits_production;Production
credits_production_assistant;Production Assistant
credits_production_manager;Production Manager
credits_production_managerhead_of_production;Production Manager/Head of Production
credits_programmer;Programmer
credits_programmer_intern;Programmer Intern
credits_programming;Programming
credits_project_manager;Project Manager
credits_promo_art_and_design_director;Promo Art & Design Director
credits_promo_artist_lead;Promo Artist Lead
credits_qa;QA
credits_qa_analyst;QA Analyst
credits_qa_compliance_specialist;QA Compliance Specialist
credits_qa_coordinator;QA Coordinator
credits_qa_director;QA Director
credits_qa_lab_manager;QA Lab Manager
credits_qa_lead;QA Lead
credits_qa_localization_tester;QA Localization Tester
credits_qa_project_manager;QA Project Manager
credits_qa_team_leader;QA Team Leader
credits_qa_tester;QA Tester
credits_quest_designer;Quest Designer
credits_rayla;Rayla
credits_raynard;Raynard
credits_recording_engineer;Recording Engineer
credits_recruiter;Recruiter
credits_recruitment;Recruitment
credits_recruitment_assistant;Recruitment Assistant
credits_recruitment_manager;Recruitment Manager
credits_recruitment_specialist;Recruitment Specialist
credits_russian;Russian
credits_russian_localization;Russian Localization
credits_russian_voiceovers;Russian Voiceovers
credits_saz;Saz
credits_screenshot_artist;Screenshot Artist
credits_second_audio_engineer;Second Audio Engineer
credits_senior_ai_programmer;Senior AI Programmer
credits_senior_animator;Senior Animator
credits_senior_artist;Senior Artist
credits_senior_audio_designer;Senior Audio Designer
credits_senior_automated_test_programmer;Senior Automated Tests Programmer
credits_senior_business_systems_specialist;Senior Business Systems Specialist
credits_senior_character_artist;Senior Character Artist
credits_senior_cinematic_animator;Senior Cinematic Animator
credits_senior_communication_manager;Senior Communication Manager
credits_senior_compensation_and_benefits_specialist;Senior Compensation and Benefits Specialist
credits_senior_concept_artist;Senior Concept Artist
credits_senior_cplus_seveloper;Senior C# Developer
credits_senior_data_analyst;Senior Data Analyst
credits_senior_english_adaptation_specialist;Senior English Adaptation Specialist
credits_senior_environment_artist;Senior Environment Artist
credits_senior_event_manager;Senior Event Manager
credits_senior_finance_specialist;Senior Finance Specialist
credits_senior_graphic_designer;Senior Graphic Designer
credits_senior_it_system_administrator;Senior IT System Administrator
credits_senior_legal_specialist;Senior Legal Specialist
credits_senior_localization_producer;Senior Localization Producer
credits_senior_localization_project_manager;Senior Localization Project Manager
credits_senior_martketing_illustrator;Senior Martketing Illustrator
credits_senior_motion_designer;Senior Motion Designer
credits_senior_network_programmer;Senior Network Programmer
credits_senior_payroll_specialist_acting_lead;Senior Payroll Specialist/ Acting Lead
credits_senior_post_coordinator;Senior Post Coordinator
credits_senior_pr_manager;Senior PR Manager
credits_senior_producer;Senior Producer
credits_senior_programmer;Senior Programmer
credits_senior_project_manger;Senior Project Manger
credits_senior_recruiter;Senior Recruiter
credits_senior_sound_designer;Senior Sound Designer
credits_senior_ui_artist;Senior UI Artist
credits_senior_vfx_artist;Senior VFX Artist
credits_senior_video_editor;Senior Video Editor
credits_senior_vo_director;Senior VO Director
credits_senior_writer;Senior Writer
credits_simplified_chinese_localization;Simplified Chinese Localization
credits_simplified_chinese_voiceovers;Simplified Chinese Voiceovers
credits_software_architect;Software Architect
credits_software_client;Software Engineer - Client
credits_software_engineer_backend;Software Engineer - Backend
credits_software_engineer_frontend;Software Engineer - Frontend
credits_software_engineer_network;Software Engineer - Network
credits_software_engineer_sdk;Software Engineer - SDK
credits_software_engineer_ui;Software Engineer - UI
credits_sound_designer;Sound Designer
credits_sound_engineer;Sound Engineer
credits_spanish;Spanish
credits_spanish_localization;Spanish Localization
credits_spanish_voiceovers;Spanish Voiceovers
credits_special_message;Special message / other
credits_special_thanks_gwent;Special Thanks Gwent
credits_story;Story
credits_supervisor;Supervisor
credits_support_team;SUPPORT TEAM
credits_support_team_leader;Support Team Leader
credits_tax_manager;Tax Manager
credits_taxes;Taxes
credits_tech_and_pipeline_programming;Tech and Pipeline Programming
credits_tech_producer;Tech Producer
credits_tech_programmer;Tech Programmer
credits_tech_programmers_coordinator;Tech Programmers Coordinator
credits_tech_qa_analyst;Tech QA Analyst
credits_technical_art;Technical Art
credits_technical_art_lead;Technical Art Lead
credits_technical_artist;Technical Artist
credits_technical_support;TECHNICAL SUPPORT
credits_technical_support_lead;Technical Support Lead
credits_technical_support_specialist;Technical Support Specialist
credits_territory_manager;Territory Manager
credits_test;test
credits_thronebreaker;TRÓNBITORLÓ: EGY VAJÁK–TÖRTÉNET
credits_thronebreaker_a_witcher_tales;ANDRZEJ SAPKOWSKI MÛVEI NYOMÁN
credits_tools_programmer;Tools Programmer
credits_training_manager;Training Manager
credits_training_specialist;Training Specialist
credits_trainings;Trainings
credits_translator;Translator
credits_translators;Translators
credits_ui;UI
credits_ui_artist;UI Artist
credits_ui_programmer;UI Programmer
credits_ui_programming;UI Programming
credits_unity_programmer;Unity Programmer
credits_user_acquisition_manager;User Acquisition Manager
credits_ux__ui_artist;UX / UI Artist
credits_value_added_tax_specialist;Value Added Tax Specialist
credits_vfx;VFX
credits_vfx_acting_lead;VFX Acting Lead
credits_vfx_artist;VFX Artist
credits_vfx_lead_artist;VFX Lead Artist
credits_video_creative_producer;Video Creative Producer
credits_video_team_lead;Video Team Lead
credits_villem;Villem
credits_viola;Viola
credits_viola_da_gamba;Viola da Gamba
credits_violin;Violin
credits_vocals;Vocals
credits_voice_director;Voice Director
credits_voice_editing;Voice Editing
credits_voice_over_recording_and_translation;VOICE OVER RECORDING AND TRANSLATION
credits_vp_of_global_marketing;VP of Global Marketing
credits_vp_pr_and_marketing_china;VP PR & Marketing - China
credits_web_developer_lead;Web Developer Lead
credits_web_development_team;Can Expect - Web Development Team
credits_work_permit_and_residence_legalization_specialist;Work Permit and Residence Legalization Specialist

