201322_tooltip;<keyword=spying>Kém</keyword>. <keyword=restraint>Megfékezett</keyword>.\n{Counter} kör után, a kör kezdetén Erôsíti <b>magát</b> a tôle jobbra esô egység erejének értékével, majd átkerül az ellenfél térfelére.
201325_fluff;Mi akar ez lenni, Reynard? Útonállók támadnak a királyi adószedôkre? Fényes nappal?
201325_name;Bitang parittyás
201325_tooltip;<keyword=deploy>Lehelyezés</keyword>: {maxtargets} választott egységnek {damage} sebzést okoz, majd másik sorra mozdul át.
201326_fluff;Spalla Bitangjai napról napra egyre szemtelenebbek lettek. Egy ló innen, egy ló onnan... Most pedig a királyi istállóból!
201326_name;Bitang lovasság
201326_tooltip;Akármikor egy <b>ellenség</b> sebzôdik, Erôsíti <b>magát</b> 1-gyel.
201327_fluff;"Nyugi, tudom, hogyan lehet megszelídíteni a farkasokat..." – A vadász Dunbar utolsó szavai.
201327_name;Farkas
201327_tooltip;<keyword=deploy>Lehelyezés</keyword>: Megsebez egy <b>véletlenszerûen választott ellenséget</b> 2-vel. Akármikor megjelenik egy <b>Farkas</b> szövetséges, a képessége megismétlôdik.
201328_fluff;A hárpia tojás omlett ízletes finomság, jó uram. Elég költséges is, hisz sejtheti, hogy a nyomorultak nem hajlandóak önként megszabadulni a tojásaiktól.
201328_name;Hárpia tojás
201328_tooltip;<keyword=deathwish>Halálvágy</keyword>: Egy <b>Hárpiát</b> <keyword=spawn>Teremt</keyword>.
201329_fluff;Ha még egyszer meghallom, hogy egy városlakó a galamb-nyûgje miatt panaszkodik,...
201329_name;Hárpia
201329_tooltip;Ennek a körnek a végén {Num of Times} <b>Hárpia tojást</b> <keyword=spawn>Teremt</keyword>.
201330_fluff;Jóval azelôtt ki fogod ôket szagolni, minthogy látnád ôket.
201330_name;Bûzdémon
201330_tooltip;<keyword=deploy>Lehelyezés</keyword>: Egy <b>alap példányt</b> <keyword=spawn>Teremt</keyword> ebbôl az egységbôl.\n<keyword=deathwish>Halálvágy</keyword>: Ezen a soron minden egységet 4-gyel sebez.
201332_fluff;A sok másfajú, kiket a városokban látott faj- és idegengyûlölet táplál, majd végül eldöntik, hogy csatlakoznak a Mókusokhoz.
201332_name;Mókus újonc
201332_tooltip;Amikor egy <b>nem-Elf egység</b> megsemmisül, Erôsíti <b>magát</b> ennyivel: {Boost}.
201333_fluff;Egy kegyetlen tett szabadította el az átkot! Vonyítanak a kutyák! Démonokká változtak mind!
201333_name;Bargeszt
201333_tooltip;Akármikor egy <keyword=haunt>Kísértett</keyword> számlálója lejár, 1 <b>alap példányt</b> <keyword=spawn>Teremt</keyword> önmagából.
201334_fluff;Ki gondolta volna, hogy a méretesre nôtt denevérek is odavannak a cirádás ékszerekért?
201334_name;Ekimmara
201334_tooltip;<keyword=drain>Megcsapol</keyword> <b>minden ellenséget</b> egy soron 1-gyel.
201335_fluff;Mindig emlékezz erre, gyermek: Ha mezôn kószálva borul reád az éj sötétje, többé nem hull majd terád a hajnalnak fénye.
201335_name;Éjlidérc
201335_tooltip;<keyword=deploy>Lehelyezés</keyword>: 5 körön keresztül <keyword=haunt>Kísért</keyword> egy <b>ellenséget</b>.\nAmikor sebzôdik, Erôsíti <b>magát</b> a sebzôdés mértékével.
201336_fluff;Ha a ghoulok részei az élet körforgásának… akkor ez egy romlott körforgás.
201336_name;Ghoul
201336_tooltip;<keyword=deploy>Lehelyezés</keyword>: <keyword=consume>Bekebelezi</keyword> a <b>legerôsebb egységet</b> a temetôdbôl, és a <keyword=charge>Töltet</keyword> értékedet az erejével azonosra állítja.\n<keyword=order>Parancs</keyword>: Egy <b>ellenséget</b> 1-gyel sebez.
201337_fluff;A trükk abban rejlik, hogy úgy törd meg az akaratukat, hogy közben a testüket ne.
201337_name;Rabszolgavadász
201337_tooltip;<keyword=restraint>Megfékezett</keyword>.\n<keyword=deploy>Lehelyezés</keyword>: Maga mellé mozgatja a <b>leggyengébb ellenséges egységet</b>, és <keyword=lock>Zárolja</keyword> azt.\n<keyword=deathwish>Halálvágy</keyword>: Visszamozgatja az <b>ellenséget</b> annak térfelére, és eltávolítja róla a <keyword=lock>Zárolást</keyword>.
201338_fluff;Megcáfolhatatlan bizonyítékot akarsz a civilizáció fejlôdésére? Nézd a háborúkat! Az emberek jobbak lettek egymás megölésében.
201338_name;Hadmérnök
201338_tooltip;<keyword=deploy>Lehelyezés</keyword>: Erôsít egy szövetséges <b>Hadigépet</b> ennyivel: {Boost}, és <keyword=resilient>Rugalmas</keyword> állapottal ruházza fel.
201339_fluff;Hadd vitázzanak a historikusok arról, hogy vajon etikus cselekedet-e a járványok terjesztése az ostromlott városokban. Minket csak az érdekel, hogy eredményes.
201339_name;Döghajító
201339_tooltip;<keyword=deploy>Lehelyezés</keyword>: <keyword=spawn>Teremt</keyword> és kijátszik egy <b>Tehén tetemet</b>.
201340_fluff;Mi az? Talán egy madár? Talán egy griff? Dehogy! Az egy...
201340_name;Tehén tetem
201340_tooltip;<keyword=spying>Kém</keyword>.\n{Counter} kör után, a kör kezdetén megsemmisíti az ezen a soron lévô <b>leggyengébb szövetséges egységet</b>.
201341_fluff;A neve szörnyen megtévesztô, mert az hinné az ember, hogy egy testes, vörös pókfélérôl van szó és nem egy kifinomult, mérnöki tömegpusztító fegyverrôl.
201341_name;Tûzskorpió
201341_tooltip;<keyword=order>Parancs</keyword>: Egy <b>ellenséges egységnek</b> {Damage} sebzést okoz. Ha megsemmisült, a sorára <b>Tüzet</b> <keyword=spawn>Teremt</keyword>. \n<keyword=cooldown>Lehiggadás</keyword>: {Counter1}.
201342_fluff;Nem a legjobb városok bevételére, de nagyszerû azok porig rombolására.
201342_name;Testes Helge
201342_tooltip;<keyword=order>Parancs</keyword>: Minden <b>ellenséges egységnek</b> {Damage} sebzést okoz.\n<keyword=cooldown>Lehiggadás</keyword>: {Counter}.\n<keyword=deathwish>Halálvágy</keyword>: Ezen a soron minden egységnek {Damage4} sebzést okoz.
201343_fluff;A Halál Fejének hívnak bennünket. Kíváncsi vagy, miért?
201343_name;Nauzicaa dandár
201343_tooltip;7 sebzést okoz egy <keyword=spying>Kémkedô</keyword> egységnek.
201344_fluff;Elfuthatsz ugyan, de el soha nem bújhatsz.
201344_name;Beszivárgó
201344_tooltip;<keyword=ambush>Cselvetô</keyword>: Megsemmisíti az ellenfeled kezébôl kijátszott következô egységet.
201345_fluff;Elf vagy törp, nem számít – egészen addig, amíg van pénze.
201345_name;Havekár támogatás
201345_tooltip;<keyword=order>Parancs</keyword>: {Armor1} <keyword=armor>Páncélt</keyword> ad <b>minden szövetséges egységnek</b>.\n<keyword=cooldown>Lehiggadás</keyword>: {Counter1}.
201346_fluff;Én mondom, harcra születtünk. Simán elnyiszáljuk ôket térdben!
201346_name;Mahakami védô
201346_tooltip;<keyword=resilient>Rugalmas</keyword>.
201347_fluff;A béke megzavarására Mahakamban csak egyetlen büntetés létezik: fejbekólintás kalapáccsal.
201347_name;Mahakami fejszés
201347_tooltip;<keyword=order>Parancs</keyword>: Egy egységet egy sorral távolabb mozgat az ellenségtôl.
201349_fluff;"Az életed árán is megvédelmezed ezt a lobogót! Gloir aen Ard Feain!"
201349_name;Zászlóvívô
201349_tooltip;Kör kezdete elôtt, ha van egy <b>Nilfgaardi elfogó</b> a csatamezôn, <keyword=ambush>Cselvetôre</keyword> állítja vissza a állapotát, és 1 <b>alap példányt</b> <keyword=spawn>Teremt</keyword> belôle.
201350_fluff;Fogadj hûséget Emhyr var Emreis császárnak,... máskülönben pusztulj!
201350_name;Alba dárdás
201350_tooltip;<keyword=deploy>Lehelyezés</keyword>: Egy ezzel az egységgel azonos példányt húzat a paklidból.\n<keyword=deathwish>Halálvágy</keyword>: <keyword=discard>Eldobja</keyword> ennek az egységnek minden példányát a kezedbôl és a paklidból.
201351_fluff;Halál és dicsôség!
201351_name;Alba lándzsás
201351_tooltip;<keyword=resilient>Rugalmas</keyword>.\n<keyword=deploy>Lehelyezés</keyword>: Kijátszik egy <b>véletlenszerûen választott egységet</b> a paklidból, és Erôsíti azt 2-vel.
201352_fluff;A térdre célzok. Mindig.
201352_name;Deithweni számszeríjász
201352_tooltip;<keyword=order>Parancs</keyword>: {Damage} sebzést okoz egy <b>ellenséges egységnek</b>.\nAmikor egy <b>szövetséges</b> megjelenik, a <keyword=charge>Töltet</keyword> {Charge} ponttal nô.
201353_fluff;A császár fanatikus testôrei a végsôkig harcolnak.
201353_name;Császári kényszerítô
201353_tooltip;Minden körben, a kör kezdetén Erôsíti a szomszédos egységeket ennyivel: {Boost}, ha ennek az egységnek van <keyword=armor>Páncélja</keyword>.
201354_fluff;A császári dandár sosem hátrál meg. Soha!
201354_name;Császári dandár
201354_tooltip;Ha kézben, pakliban vagy a csatamezôn van, amikor egy <b>ellenséges egység</b> megjelenik a távolsági sorban, <b>önmagát</b> <keyword=strengthen>Erôsíti</keyword> ennyivel: {Strengthen}.
201355_fluff;Sokat tanultak a Braibanti Tisztképzô Akadémián. Például azt, hogy hogyan kell megpucolni a krumplit.
201355_name;Daerlani gyalogság
201355_tooltip;<keyword=deploy>Lehelyezés</keyword>: <keyword=strengthen>Erôsít</keyword> minden példányt ebbôl az egységbôl a kézben, a pakliban és a csatamezôn ennyivel: {Strengthen}.
201356_fluff;Hogy kém? Kicsit erôsnek érzem ezt a kifejezést. Afféle megfigyelônek tekintem magam.
201356_name;Nagykövet
201356_tooltip;Minden körben, a kör kezdetén, ha a <b>legerôsebb szövetséges</b> ereje páratlan, Erôsíti azt ennyivel: {Boost}.
201357_fluff;De... de ebben nincs semmi becsület! Senki nem öl meg csak úgy egy hírvivôt!
201357_name;Követ
201357_tooltip;<keyword=spying>Kém</keyword>.\n{Counter} körönként, a kör kezdetén ez az egység egy sorral közelebb mozdul az ellenfélhez.
201358_fluff;Tudom, hogy a császár védi minden területét, de a helyôrség ebben a letarolt pusztaságban olyan, mint Sírbanyán az erényöv.
201358_name;Magne hadosztály
201358_tooltip;1 kör után, a kör kezdetén ebbôl az egységbôl még egy példányt <keyword=summon>Idéz</keyword> a paklidból.
201362_fluff;Az Arany Tornyok Városának nemesen született fiai alkotják a Birodalmi Hadsereg elit gerincét.
201362_name;Nilfgaardi bajnok
201362_tooltip;<keyword=order>Parancs</keyword>: A <b>szövetséges egységek</b> számával sebez meg egy <b>ellenséget</b>.\n<keyword=cooldown>Lehiggadás</keyword>: {Counter}.
201364_fluff;Inkább választanék egy elôvigyázatos felderítô egységet, mint bármelyik jó képességû dandárt.
201364_name;Menno Coehoorn
201364_tooltip;<keyword=order>Parancs</keyword>: {Counter2} <b>Nauzicaa dandárt</b> <keyword=spawn>Teremt</keyword>.\n<keyword=cooldown>Lehiggadás</keyword>: {Counter1}.
201368_fluff;Ha mindenki a "szemet szemért" elvet vallaná, már az egész világot csak vakok laknák.
201368_name;Vrygheff tábornok
201368_tooltip;Minden körben, a kör elején {Damage} sebzést okoz a <b>leggyengébb szövetségesnek</b>, és Erôsíti a <b>legerôsebb szövetségest</b> ennyivel: {Boost}.
201374_fluff;Az én otthonomban, a civilizált világban, a tábornok parancsol a seregének, nem pedig elôrerohan törni-zúzni, mint valami veszett kutya.
201374_name;Ardal aep Dahy
201374_tooltip;<keyword=order>Parancs</keyword>: <keyword=reveal>Felfed</keyword> mindkét játékos paklijából egy-egy egységet. Ha a tiéd az erôsebb, Erôsít egy <b>szövetséges egységet</b> ennyivel: {Boost10}.\n<keyword=cooldown>Lehiggadás</keyword>: {Counter1}.\nAhányszor egy <b>szövetséges</b> megsemmisül, egy másik egységet <keyword=summon>Idéz</keyword> a helyére a paklidból. Körönként legfeljebb 10 alkalommal.
201379_fluff;Egy hajad szála sem fog görbülni – vagy a fejem most azonnal választassék el a nyakamtól. Erre megesküszöm.
201379_name;Birodalmi kíséret
201379_tooltip;<keyword=resilient>Rugalmas</keyword>.\nMinden körben, a kör elején Erôsíti <b>magát</b> 1-gyel.
201381_fluff;A császár majd fegyelemre tanítja az Északot.
201381_name;Nauzicaa dandár
201381_tooltip;<keyword=resilient>Rugalmas</keyword>.\nMinden körben, a kör végén egy sorral az ellenfél felé mozdul, és <keyword=duel>Párbajt</keyword> vív egy <b>véletlenszerûen választott egységgel</b> a jelenlegi térfélen.
201383_fluff;Ami pillanatokkal korábban gömbölyû szikláknak tûnt a cseppkövek között, az most fenyegetôn bámult rá hatalmas, világító szemeivel.
201383_name;Barbegazi
201383_tooltip;<keyword=resilient>Rugalmas</keyword>.\n<keyword=deploy>Lehelyezés</keyword>: <keyword=consume>Bekebelez</keyword> egy <b>szövetségest</b>.\n<keyword=armor>Páncél</keyword>: 4.
201384_fluff;Nem létezik olyan férfi, legyen bármilyen izmos vagy képzett, aki képes lenne hárítani egy sárkánygyík farkának, egy óriás skorpió ollójának, vagy egy griff karmainak a csapását.
201384_name;Sárkánygyík
201384_tooltip;Minden körben, a kör elején növeli a számláló értékét ennyivel: {Counter1}, és {Damage2} sebzést okoz egy <b>véletlenszerûen választott ellenségnek</b>.\n<keyword=deathwish>Halálvágy</keyword>: Megszorozza ennek az egységnek a számláló értékét ennyivel: {Damage3}, és annyi sebzést okoz egy egységnek.
201385_fluff;A trollok sokfélék, különbözô alakkal, mérettel és ízléssel vannak megáldva. Ennek ellenére mindegyiküknek csak annyi agya van, mint egy marék lepkének.
201385_name;Szomjas troll
201385_tooltip;<keyword=deploy>Lehelyezés</keyword>: <keyword=consume>Bekebelez</keyword> egy <b>szövetséges egységet</b>, és annak erejével azonos sebzést okoz egy <b>ellenségnek</b>.\n<keyword=armor>Páncél</keyword>: 6.
201386_fluff;Mint egy rák, egy pók, és egy... hegy keresztezôdése.
201386_name;Arakász behemót
201386_tooltip;Amikor egy <b>Arakász</b> megjelenik, Erôsíti <b>magát</b> 1-gyel.
201387_fluff;Életem során rengeteg undorító kreatúrát – morit, lemprit, pacahalat – láttam már... De ilyesmit még soha!
201387_name;Vízibanya
201387_tooltip;2 <b>ellenséget</b> az önmagával szemközti sorra mozgat, és <b>Felhôszakadást</b> idéz arra a sorra.
201388_fluff;Köpök a Mókusok eszményeire, de a pénzükre nem.
201388_name;Feltartóztatás
201388_tooltip;<keyword=spying>Kém</keyword>.\n{Counter2} kör után, a kör kezdetén {Damage6} sebzést okoz a szomszédos egységeknek. Ha közülük bármelyik megsemmisül, ez az egység átkerül a csatamezô másik felére.
201389_fluff;Mire meghallottuk ôket, már késô volt...
201389_name;Kék-hegységi elitegység
201389_tooltip;<keyword=deploy>Lehelyezés</keyword>: <keyword=lock>Zárol</keyword> egy <b>ellenséges egységet</b>. \n<keyword=deathwish>Halálvágy</keyword>: Megszünteti a <keyword=lock>Zárolást</keyword> egy <b>ellenséges egységen</b>.
201390_fluff;Csak még egy lépést, dh'oine! Jobban néznél ki egy nyílvesszôvel a szemeid között.
201390_name;Dol Blathannai íjász
201390_tooltip;<keyword=order>Parancs</keyword>: {Damage1} sebzést okoz egy egységnek. Ha az már Erôsített volt, {Damage2} sebzést okoz neki.\n<keyword=cooldown>Lehiggadás</keyword>: 1.
201391_fluff;Azt akarod mondani, hogy az elf táncolt a kavarodás közepette? Ütést kaptál a fejedre, Káplár?!
201391_name;Csatatáncos
201391_tooltip;<keyword=ambush>Cselvetô</keyword>: Legközelebb, amikor az ellenfeled egy nagyobb erejû egységet játszik ki, addig sebzi, amíg az ereje azonos nem lesz a <b>Csatatáncoséval</b>.
201393_fluff;Azért harcolok, aki a legtöbbet fizeti. Vagy akit könnyebb kirabolni.
201393_name;Havekár csempész
201393_tooltip;{Counter} körönként, a kör kezdetén egy véletlenszerûen választott <b>Tündét</b> <keyword=summon>Idéz</keyword> a paklidból.
201394_fluff;Persze, helyrepofozlak, viszont költséges lesz.
201394_name;Havekár gyógyító
