menu.nr007_barnaba_default.106;Kiállta már a próbákat egyáltalán? Magad is kipróbáltad?
say.nr007_barnaba_default.56;A pátriárka egy hajthatatlan ember. Kiátkozott. Az egyik találmányomat szentségtelennek, hitványnak bélyegezte, ésatöbbi, ésatöbbi. Úgy határozott, hogy máglyán égessenek el engem, és a masinámat is. Képzelheti, volt közöttünk némi véleménykülönbség ebben a kérdésben.
say.nr007_barnaba_default.57;Hm, lehet, bánni fogom, ha megkérdem... De mondd, mi is volt az a szerkezet pontosan?
say.nr007_barnaba_default.58;O-hó! Tudtam én, hogy érdekelni fogja! Önnek meglehetôsen kíváncsi az elméje, Királynôm – olyanok vagyunk mi, mint a borsó meg a héja! Eléggé ügyes kis szerkentyû volt az. Egy tehetôs özvegynek készült, akit a férje hiányában gyötörtek – úgymond – bizonyos kielégítetlen szükségletek.
say.nr007_barnaba_default.59;Itt hagyd abban. Éreztem, hogy megbánom, ha rákérdezek.
say.nr007_barnaba_default.60;Tudja, volt rajta egy különleges kis tekerentyû, amit ha elforgattak, akkor––
say.nr007_barnaba_default.61;Barnabás, nem! Elég!
say.nr007_barnaba_default.62;Utaztál valaha együtt hadsereggel?
say.nr007_barnaba_default.63;Ôszintén szólva, nem mondhatnám. Felségedé az elsô e tekintetben. És, hadd áruljam el, korántsem olyan unalmas, mint vártam. A bajtársai igazán lenyûgözôek.
say.nr007_barnaba_default.64;Valóban? Melyikükre gondolsz, ha szabad megkérdeznem?
say.nr007_barnaba_default.65;Hmm... Lássuk csak...
say.nr007_barnaba_default.76;Nos, Rayla – egy elbûvölô leányzó, nagyon kedves! Amikor megkérdeztem, hogy segítségemre volna-e az "Égignyaló II" tesztelésében, tüstént felajánlotta, hogy majd jól letaszajt az elsô közelünkbe esô sziklacsúcsról!
say.nr007_barnaba_default.77;Aztán ott van az a korosodó nô... Isbel, jól mondom? Ó, Felség, az egy igazi holdkóros! Tudta róla, hogy úgy hiszi, a világ gömb alakú? GÖMB ALAKÚ! Mint egy dinnye! Hahaha!
say.nr007_barnaba_default.78;Hmm... ééés maradjon közöttünk, de a hallgatag csókától, Xaviertôl,... bevallom, állandóan rám tör a frász. Lehet, hogy csak az ábrázata miatt van, ami mindig egy csizma talpára ragadt marcipánbevonatra emlékeztet.
say.nr007_barnaba_default.79;Ki van még? Ö-ö... Ó! Jut eszembe! Ha elfogad egy tanácsot: sose kártyázzon Gasconnal. Becsvágyó egy maskara az, és lódító... Leginkább adósságokról, amikkel állítólag én tartozom neki!
say.nr007_barnaba_default.80;És az a Reynard fickó! Hogy micsoda mókamester az! Folyton csak tréfálkozik.
say.nr007_barnaba_default.81;Hogy mondod?
say.nr007_barnaba_default.82;Minden nap rám vakkant, hogy "Vigyázzállásba!", ráadásul tökéletes fapofával! Múltkor meg arról faggatott, – hehehe! –, szóval arról, hogy szolgáltam-e a gnóm hadseregben, hahaha...! De tényleg. Nem találok szavakat arra az emberre.
say.nr007_barnaba_default.83;Igazán színes jellemrajzok ezek, Barnabás. Köszönöm!
say.nr007_barnaba_default.84;Hosszú utat tettünk meg együtt, Barnabás. Vannak terveid a jövôre nézvést?
say.nr007_barnaba_default.85;Hmm... Lehet, hogy a háborút megnyertük, de még rengeteg a tennivalóm. Annyi talány megválaszolatlan, oly sok találmány elkészületlen maradt.
say.nr007_barnaba_default.86;Esetleg dolgozhatnál az udvaromnál, és folytathatnád ott a munkád.
say.nr007_barnaba_default.87;Tudom, hogy jól kijövünk egymással, Felség, de az ottani élet nem volna nekem való. Azé a világ, aki élheti. Mellesleg, amikor Niedamir király udvarában tartózkodtam, nem épp kellemes emlékekkel lettem gazdagabb...
say.nr007_barnaba_default.88;Hm, ha belegondolok, kíváncsi volnék, vajon sikerült-e eloltaniuk azt a tüzet...
say.nr007_barnaba_default.89;Barnabás, megértem. Ám ha mégis meggondolnád magad, tudod, hol találsz.
say.nr007_barnaba_default.90;Köszönet, Felség. Mindenért.
say.nr007_barnaba_default.91;Ideje más ügyekkel is foglalkoznom.
say.nr007_barnaba_default.92;Hm? Á, igen, még mindig itt van. Menjen csak, nyugodtan.

